Lt,Le,Tl,Gm,Gi,Gnorm,folio,line,Lorder,Mg,Temp,Loc,Forme,Sens,grammatical terminology (Schad),Notes divers,Concordance avec Latin 14087
INCIPIT LIBER EUTI/GRAMMAT(I)CI CI/DE UERBO,,,++++/de uer[bo] ++++/nus contextor ,,,2r,0,,C,T3,P1 en haut à droite,F4,S523,,"contextio, weaving (also fig. of other structures), construction [saec. iv on.]. contextor, compiler (Cop. Theod. 1. 1. 6. 2). contextus (pple as adj.), consecutive // Forcellini :demendi supervacanea, et adjiciendi necessaria, et mutandi ambigua, et emendandi incongrua tribuimus potestatem",
cum semper,semper,,,s cũ frequentia,scilicet cum frequentia,2r,1,a,B,T2,P0,F3,S22,,"*cum superfluitate, cum est superflu ?",
noues quaestiones,quaestiones,,,novẽ int̃rogaciones,noues interogationes,2r,1,b,B,T2,P0,F3,S22,,,
doctorib;,doctoribus,,,p̃ce++++++,preceptoribus,2r,1,c,A,T1,P0,F2,S22,,,Preceptor. doctor ł magifter
auditorum,,,,iđ discipulorũ,id est discipulorum,2r ,2,a,A,T1,P0,F2,S22,,*+ adiutorum ?,
acutiora,,,,perspicatiora,,2r,2,b,A,T1,P0,F2,S22,,,
mouere ,,,,reperire et excitare ,,2r,2,c,B,T2,P0,F2,S22,,*Bible ? Tentationes ? ,
soleant,,,,in queareniã honari?,,2r,2,d,A,T1,P0,F3,S22 ?,,,
curiositas,,,,qͣsi sollicitudo,quasi sollicitudo,2r,3,a,B,T2,P0,F2,S22,,,
familiaris,,,,ĩ specialit̃ ⁊ ꝓprie aderens,id est specialiter et propriae adherens,2r,3,b,B,T2,P0,F4,S23,,,
familiaris,,,ĩ afinis & cognata,,id est afinis et cognata,2r,3,c,C,T3,P0,F4,S22,,,
cotidie,,,,s̃ hominis ?dãƀrũ operis,scilicet hominis ++ operis ,2r,4,a,B,T2,P0,F4,S23,,,
desiderat,,,,cupit,,2r,4,b,B,T2,P0,F2,S22,,,
recens,,,,nouit(er),,2r,4,c,A,T1,P0,F2,S22,,,
iure,,,,recte ,recte ,2r,6,a,A,T1,P0,F2,S22,,,
iure,,,,adũ locũ qualitatis,,2r,6,b,B,T2,P0,F3,?,,,
imponi,,,,suꝑponi immitti,superponi immitti,2r,6,c,B,T2,P0,F2,S22,,,
diligentissime ,,,,dilectissima,dilectissima,2r,7,a,B,T2,P0,F2,S22,,,
Cratere,,,,nom̃ ꝓpͥũ,nomen proprium,2r,7,b,A,T1,P0,F3,S553,,,
facundia,,,,iđ doctrina ,idest doctrina ,2r,8,a,A,T1,P0,F3,S22,,,
facundia,,,,eloquentia,,2r,8,b,B,T2,P0,F2,S22,,,
facundia,,,facundu᷑ uocit᷑ eo qđ facile fari/potest. for faris inde facundia.,,facundum uocitur eo quod facile fari potest for faris inde facundia,2r,8,,C,T3,P1 right,F4,S54,,,
equiperante,,,,coęquantẽ,coaequantem,2r,8,,B,T2,P0,F2,S22,,,
excellentes,,,,presũt ĩgentes,praesunt ingentes,2r,9,,A,T1,P0,F3,S22,,,
gaudebam ,,,,lętabar,laetabar,2r,10,a,B,T2,P0,F2,S22,,,
doctrina,,,,eloquentia,,2r,10,b,B,T2,P0,F2,S22,,,
superauisse,,,,suꝑ orauisse,super orauisse,2r,10,c,B,T2,P0,F3,S54,,,
romana,,,,lat̃,latina,2r,10,d,B,T2,P0,F2,S22,,,
cernendas,,,,separandas,separandas,2r,11,,B,T2,P0,F2,S22,,,
quorum,,,,s duorũ librorũ,scilicet duorum librorum,2r,12,a,B,T2,P0,F3,S53,,,
instruitur,,,,ordinatur ,,2r,12,b,A,T1,P0,F2,S22,,,
instruitur,,,,(et di)sponitur,,2r,12,c,B,T2,P0,F2,S22,,"*dispositio, ordinatio,docere, erudire, instruire, informare, insegnare ,redigere, reficere",
exsequit᷑,exsequitur,,,ꝑseꝗt᷑,prosequitur,2r,13,,B,T2,P0,F2,S22,,,
regulas,,,,rectitudines,rectitudines,2r,14,,B,T2,P0,F2,S22,regula,,
una ,,,,(pt̃r)? prima,ponitur prima ?,2r,16,a,B,T2,P0,F3,S53,,*aide du codex BnF 7499 f.,
carens,,,,ammitens,,2r,16,b,B,T2,P0,F2,S22,careo,,
tenore ,,,,iđ accentu,id est accentu,2r,16,c,A,T1,P0,F2,S22,tenor,,
infine,,,,& in t̃minatione,et in terminatione,2r,16,d,B,T2,P0,F3,S22,"finis *At 3.140.5ff. Prisc. uses finis (.14, 16, 20, 22, 25) in free variation with terminatio (.5, 18, 24) for AD’s τέλος",,
BARIΘONOC,βαρύτονος ,,,grauis sonus,grauis sonus,2r,16,e,m0,T0,P0,F3,S211,grauis,,Barithonos. Aliena atona
ab eis appelantur,,,,uidelicet [grecis],,2r,17,a,B,T2,P0,F3,S53,,*aide du codex BnF 7499 f.,
ex consonantib;,ex consonantibus,,,s̃ species,scilicet species ,2r,17,b,B,T2,P0,F2,S53,"consonans *types Dosith. 7.381.13 -ium species est duplex, sunt enim aliae semivocales, aliae mutae (Char. 5.7; Don. 603.7; Mar. Vict. 6.5.19; Vict. 6.195.10; Aud. 7.326.6; ps. Mar. Vict. 6.32.28). Prob. 4.49.4 semivocales et mutae appellantur -es. 50.19.
",,
ω inuentis,,,,[+++]is,,2r,18,a,B,T2,P0,F2,S22,,,
significat,,,,ostendit,,2r,18,b,B,T2,P0,F2,S22,significo,,
prolata,,,,pñtiata,pronuntiata,2r,19,a,B,T2,P0,F2,S22,"pronuntio * Aud. 7.357.10 sin vero non per suspirationem animi, sed aliter proferuntur, id quod significaverint -antur. *προφέρω",,
apud eos,,,,s apud grecos,scilicet apud grecos,2r,19,b,B,T2,P0,F3,S53,,,
ΠE/ΡΙCΠΟΜΕΝΕ,περισπωμένη,,,ꝑicpomene circũflexibilis,,2r,19,c,B,T2,P0,F2,S211,"circumflexus *Gk.: περισπωμένη, DT 7.1; μέση, Arist. rhet. 1403 b 28.
frg. Bob. 7.539.18 -us, quem perispomenon (dicunt Graeci).",Perspomene. quasi circũ flexo,
In secuncda persona inuentis,,,,[+++]as,,2r,21,,B,T2,P0,F2,S22  pour inuentis ?,,,
ex finali terminatione,,,,ex[++++]cione,ex terminacione,2r,22,,B,T2,P0,F3,S22,terminatio,,
dicunt,,,,apellant,,2v,1,a,B,T2,P0,F2,S22,,,
licet,,,,si uis,si uis,2v,1,b,B,T2,P0,F3,S22,,,
sicut multis ,,,,In aliis,,2v,2,a,B,T2,P0,F3,S611,,*in aliis regulis,
prorsus,,,,certe,,2v,2,b,A,T1,P0,F2,S22,,,
prorsus,,,,omnino,,2v,2,c,C,T3,P0,F2,S22,,,
inditia,,,,signa,signa,2v,3,a,B,T2,P0,F2,S22,signum*physical mark of aspiration,,
penitus,,,,ex toto ,,2v,4,a,A,T1,P0,F2,S22,,,
penitus,,,,& funditias,et funditias,2v,4,b,C,T3,P0,F2,F22,,,
in o ,,,,or,,2v,4,c,B,T2,P0,F2,S611,,,
imitari,,,,seꝗ,sequi,2v,5,a,B,T2,P0,F2,S22,,,
imitari,,,,s̃ lat̃ ,scilicet latini,2v,5,b,B,T2,P0,F2,S53,,,
terminalẽ,terminalem,,,& finalem,,2v,5,,C,T3,P0,F2,S22,terminalis,,
baritona,,,,hoc est grauisona,hoc est grauisona ,2v,6,,C,T2,P0,F4,S211,grauis *Collocations : sonus: Fest. 249.33.,,
baritona,,,,lat̃,,2v,8,,B,T2,P0,F2,S53,,,
ordinẽ,ordinem,,,seriem,seriem,2v,9,,B,T2,P0,F2,S22,ordo,,
ex qua,,,,s ob,scilicet ob,2v,10,,C,T3,P0,F2,S22,,,
penitus,penitus,,,funditꝰ,funditus,2v,12,,B,T2,P0,F2,S22,,,
incerta,,,,&ãbigua,et ambigua,2v,12,a,C,T3,P0,F2,S22,incertus,,
cogimur,,,,c̃pellim᷑,compellimur,2v,12,b,B,T2,P0,F2,S22,,,
enuntiare,,,,ꝓñtiare,pronuntiare,2v,14,a,B,T2,P0,F2,S22,"enuntio*Gk.: ἐκφωνέω, DH comp. 14; AD adv. 165.18.

See pronuntio 2, and further parallels s.v.",,
conabor,,,,ĩtẽptabor.,in temptabor,2v,14,b,C,T3,P0,F2,S22,,,
notatis,,,,exceptis & segregatis.,exceptis et segregatis,2v,18,a,C,T3,P0,F3,S22,noto,,
anomalis ,,,,inęqualib;,inaequalibus,2v,18,b,B,T2,P0,F2,S22,"anomalus, inaequalis",,
analogię,analogiae,,,ꝓportio,proportio,2v,19,,B,T2,P0,F2,S22,"analogia, proportio",,
cędo,caedo,,,dic,,2v,20,a,B,T2,P0,F2,?S1(ordre du maître ?),,,
faxo,,,,ꝓfacio,profacio,2v,20,b,B,T2,P0,F2,S22,,,
sodes,,,,si audes,si audes,2v,20,c,B,T2,P0,F3,S54,,,sodes. Si audes
aue,,,,salue,salue,2v,20,d,B,T2,P0,F2,S22,,,
ferit,,,,qͣsi ꝑcutit,quasi percutit,2v,20,e,B,T2,P0,F2,S22,,,
insit,,,,dicit,,2v,20,f,B,T2,P0,F2,S22,,,
similitudine,,,,aequalitate,,2v,21,,B,T2,P0,F2,S22,"Gk.: τὰ δὲ παραβολῆς ἢ ὁμοιώσεως, οἷον ὡς ὥσπερ ἠΰτε καθάπερ, DT 79.2.",,
generale,,,,qͣsi generalit̃ et cõmunit̃,quasi generaliter et communiter,2v,24,,B,T2,P0,F3,S22,,,
temptabo,,,,conabor,,3r,1,,C,T2,P0,F2,S22,,,
diriuatiua,,,,hoc ẽ deductiua.,,3r,2,,C,T2,P0,F3,S22,"deriuatus, deductiuus",,
unius tantũ modos,,,,c̃iugacianes,coniugaciones,3r,4,,B,T2,P0,F2,S53,"coniugatio *Aud. 7.345.14 -ο...est forma quaedam, ex qua intellegitur, promissivus modus ... quo modo efferri debeat (Vict. 6.198.31).",,
orthographis ,,,,recte scribentib;,recte scribentibus,3r,5,a,B,T2,P0,F3,S23,orthographus,,
consentientib;,consentientibus,,,c̃cordantib;,concordantibus,3r,5,b,B,T2,P0,F2,S22,,,
ebesco ,,,,fadt᷑dr̃,fadtur (fatuor?) dicitur,3r,6,a,B,T2,P0,F2,S22,,*fsstidium dare ?,
pertimesco,,,,ualde timere incipio ,,3r,6,b,B,T2,P0,F4,S23,,,
euanesco,,,,deficio,,3r,6,c,B,T2,P0,F2,S22,,,
patesco,,,,aperire incip{io},,3r,7,a,B,T2,P0,F3,S23,,,
notesco,,,,notꝰ fieri iñpio,notus fieri incipio,3r,7,b,B,T2,P0,F3,S23,,,
labasco,,,,ruere,,3r,7,c,B,T2,P0,F2,S22,,,
glisco,,,,cresco,cresco,3r,9,,B,T2,P0,F2,S22,,, A glis glisco id est cresco // Geo.glisco ł cresco.
micturio,,,,mingere ,,3r,11,a,B,T2,P0,F2,S22,,,
micturio,,,,meditor,,3r,11,b,C,T2,P0,F2,S22,,,
esurio,,,,manducare,,3r,11,c,B,T2,P0,F2,S22,,,
p̃cedente ,precedente,,,antecedente,,3r,13,,C,T2,P0,F2,S22,,,
lectito,,,,frequent̃ lego,frequenter lego,3r,14,,C,T2,P0,F3,S23,,,
dictito ,,,,frequent̃ dico,frequenter dico,3r,15,a,C,T2,P0,F3,S23,,,
cantito,,,,frequent̃ cano,frequenter cano,3r,15,b,C,T2,P0,F3,S23,,,
cursito,,,,frequent̃curso,frequenter curso,3r,15,c,C,T2,P0,F3,S23,,,
uisito,,,,frequent̃ uideo,frequenter uideo,3r,15,d,C,T2,P0,F3,S23,,,
merso ,,,,frequent̃ mergo,frequenter mergo,3r,15,e,C,T2,P0,F3,S23,,,
nexo,,,,frequent̃ necto,frequenter necto,3r,16,a,C,T2,P0,F3,S23,,,
uiso ,,,,desidero uidere,desidero uidere,3r,16,b,B,T2,P0,F3,S23,,,
qđ (et uirgilius),quod,,,uerbũ,uerbum,3r,16,c,B,T2,P0,F2,S53,,,
inuisitis aras,,,,desideratas aras uidere,desideratas aras uidere,3r,17,a,B,T2,P0,F4,S22,,,
et in eodẽ ,et in eodem,,,s libro,scilicet libro ,3r,17,b,C,T2,P0,F2,S53,,,
gelidos,,,,allidos ,calidos ? Le contraire ?,3r,17,c,B,T2,P0,F2,S22?,,,
gelidos,,,,frigidos,,3r,17,d,C,T3,P0,F2,S22,,,
ser/uare,,,,custodit,custodit,3r,20,,B,T2,P0,F2,S22,,,
anomala,,,,inequalia,,3r,21,,B,T2,P0,F2,S22,"anomalus*Eutych. 5.448.19 -is vel defectivis, in quibus plerumque ratio deficit analogiae, ut ‘sum prosum inquam cedo edo faxo sodes ave ferit infit’ et similibus.",,
defectiua,,,,qua deficiunt ꝑ modos,qua deficiunt per modos,3r,22,a,B,T2,P0,F4,S23,,,
inuenire,,,,i,,3r,22,b,B,T2,P0,F1,S611,,,
differentiis ,,,,arbitror,,3r,23,,B,T2,P1 right,F2,essais de plume,differentia,*supprimé deliberamment / dittographie ,
arbitror,,,,estimor,estimor,3r,24,,B,T2,P0,F2,S22,,,
discerni,,,,diuidi,,3r,24,,B,T2,P0,F2,S22,,,
fatilior,,,,leuior,,3r,25,a,B,T2,P0,F2,S22,,*la notion de être facile/leue,
obseruatio,,,,s regula,scilicet regula,3r,25,b,C,T2,P0,F2,S22,"oberuatio*A number of the grammarians define Latinity as the practice of correct speaking.
Diom. 1.439.15 Latinitas est incorrupte loquendi -o secundum Romanam linguam (Vict. 6.189.2; Aud. 7.322.21; Aug. 5.494.3).",,
Tres enĩ uocales,tres enim uocales,,,s̃ a .or. c̃sonanctb;,,3r,25,c,C,T2,P1 right,F3,S53,"uocalis*classification Char. 4.15 litterarum aliae sunt -es, aliae consonantes (Dosith. 7.381.9; Don. 603.6; Mar. Vict. 6.5.15).",,
a penitus ,a penitus,,,uidelicet omnino.,,3v,2,a,C,T3,P0,F3,S22,,,
inuenitur,,,,reperit᷑,reperitur,3v,2,b,B,T2,P0,F2,S22,"inuenio*Diom. 1.324.24 (omnia qualitatium nomina, i.e. adjectives) aut ... incipiunt aut sunt aut veniunt aut adiciuntur aut -untur aut exeunt. .34 -untur ea quae trifariam ordinantur in hunc modum, uno scilicet deficiente quolibet gradu, aut positivo aut comparativo aut superlativo.",,
reboo,,,,ĩ resono.,id est resono,3v,3,,C,T3,P0,F2,S22,,,
rebo antiq;,rebo antiquis,,,&  resonant,et resonans,3v,5,,C,T3,P0,F2,S22,,,
olimpus,,,,nom̃ montis ẽ,nomen montis est,3v,6,a,C,T3,P0,F3,S551,,,
inchoo,,,,incipio,,3v,6,b,C,T3,P0,F2,S22,,,
axoo,,,,ch,achoo,3v,6,c,m0,T0,P0,F2,S611,,,
traductum,,,,d,traductum,3v,7,,m0,T0,ligne principale,F1,S611,,*supprimé/effacé,
artium scriptores,,,,ueteres,ueteres,3v,10,,m0,T0,P0,F2,S53,,,
quę sola,quae sola ,,,coniugatio,,3v,11,,A,T1,P0,F2,S53,,,
aliae,,,,+++ c̃. uix,,3v,12,a,m0,T0,P0,F3,S611,,*effacé déliberamment première partie. Uix post aliae codex 7499,
quo modo,,,,sic̃,,3v,12,b,B,T2,P0,F2,S22,,,
secunda,,,,s c̃iugatio,scilicet coniugatio,3v,14,,C,T3,P0,F2,S53,,,
spetialẽ,spetialem,,,ꝓpͥã,propria,3v,15,,B,T2,P0,F2,S22,,,
,,,ut÷,,,3v,16,a,m0,T0,P0,F3,S611,,,
taceo,,,,sileo,sileo,3v,16,b,C,T3,P0,F2,S22,,,
maneo,,,,habito,,3v,16,c,C,T3,P0,F2,S22,,,
stupeo,,,,ãmiror,ammiror,3v,17,a,C,T3,P0,F2,S22,,,
squaleo ,,,,sordeo,sordeo,3v,17,b,A,T1,P0,F2,S22,,,
areo ,,,,sicor,sicor,3v,17,c,C,T3,P0,F2,S22,,,
censeo,,,,iudico,,3v,17,d,C,T3,P0,F2,S22,,,
candeo,,,,splendeo ,splendeo,3v,17,e,B,T2,P0,F2,S22,,,
doleo,,,,lugeo,,3v,18,a,C,T3,P0,F2,S22,,,
pateo,,,,aperio,,3v,18,b,C,T3,P0,F2,S22,,,
eodeq ;,,,,&ipso,et ipso,3v,18,c,C,T3,P0,F2,S22,,,
polliceor,,,,spondeo,,3v,21,a,B,T2,P0,F2,S22,,,
polliceor,,,,prometto,,3v,21,b,A,T1,P0,F2,S22,,,
liqueor ,,,,fluo,,3v,21,c,B,T2,P0,F2,S22,,,
medeor,,,,medicor,,3v,21,d,m0,T0,P0,F2,S22,,,
reor ,,,,estimo,,3v,21,e,A,T1,P0,F2,S22,,,Res. a reor. 
mereor ,,,,tristor,,3v,21,g,C,T3,P0,F2,S22,,,
uereor.,,,,timeo,,3v,21,h,B,T2,P0,F2,S22,,,
uereor.,,,,orresco,,3v,21,i,m0,T0,P0,F2,S22,,,
fateor,,,,loquor ,,3v,22,a,A,T1,P0,F2,S22,,,
fateor,,,,ꝓfiteor,,3v,22,b,B,T2,P0,F2,S22,,,
profiteor,,,,affirmo,,3v,22,c,B,T2,P0,F2,S22,,,
infiteor,,,,ñc̃fiteor,nec confiteor,3v,22,d,C,T3,P0,F2,S22,,*αρνούμαι/Dositheus,
intueor,,,,inspicio,inspicio,3v,22,e,A,T1,P0,F2,S22,,,Conspicior. oculos subito intendo. intueor contẽplor.
intueor,,,,uideo  c̃sidero,"uideo, considero",3v,22,f,B,T2,P0,F2,S22,,,Conspicior. oculos subito intendo. intueor contẽplor.
notandũ,notandum,,,excipiunt᷑,excipiuntur,3v,22,g,B,T2,P0,F2,S22,,,
notandũ,notandum,,,t᷑ ,-tur,3v,23,a,B,T2,P0,F1,S611,,*correction en notantur,
beo,,,,bontifico,,3v,23,b,B,T2,P0,F2,S22,,*beatifico – bénir,
creo,,,,facio,,3v,23,c,B,T2,P0,F2,S22,,,
meo,,,,pergo,,3v,23,d,A,T1,P0,F2,S22,,,Meo Defluo Decurro mano
nau/seo,,,,fastidio,fastidio,3v,23,e,B,T2,P0,F2,S22,,,
enucleo,,,,aperio,,3v,24,a,B,T2,P0,F2,S22,,,Nucleo. claudo
laqueo,,,,ligo,,3v,24,b,B,T2,P0,F2,S22,,*alternative ?,
screo,,,,spuo,,3v,24,c,A,T1,P0,F2,S22,,,
queo,,,,ualeo possũ,"ualeo, possum",3v,24,d,B,T2,P0,F2,S22,,,
pritiua,,,,mi,,4r,1,,m0,T0,P0,F1,S611,,,
acuo ,,,,aciũ facio,acium facio,4r,2,a,B,T2,P0,F3,S54,,,
 induo ,,,,uestio,uestio,4r,2,b,B,T2,P0,F2,S22,,,Vestio circũdo induo togo.
arguo,,,,c̃uto eo rep̃hendo,Confuto ? Eo reprehendo,4r,2,c,C,T3,P0,F3,S23,,,
 fluo ,,,,dercurro,,4r,2,d,B,T2,P0,F2,S22,,,
polluo,,,,sordo ł sordeo,sordo uel sordeo,4r,2,e,A,T1,P0,F2,S22,,,
alluo,,,,perfu(ndo),perfundo ,4r,2,f,B,T2,P0,F2,S22,,,Alluo suꝑundo ꝓfundo
innuo ,,,,Signũ facio,signum facio,4r,3,a,A,T1,P0,F3,S23,,,
manuo ,,,,subtruo,subtruo,4r,3,b,B,T2,P0,F2,S22,,,
spuo ,,,,sereo,sereo,4r,3,c,C,T3,P0,F2,S22,,,
ruo,,,,cado,,4r,3,d,C,T3,P0,F2,S22,,,
metuo ,,,,timeo,,4r,3,e,C,T3,P0,F2,S22,,,
fatuo ,,,,desinio,desinio,4r,3,f,C,T3,P0,F2,S22,,,fatuor hebesco
liquor,,,,soluor/ fluor,,4r,3,g,C,T3,P0,F2,S22,,,liquor. humor
exceptis,,,,s̃ separatis,scilicet separatis,4r,4,,C,T3,P0,F2,S22,,,
postea,,,,insequentib;,in sequentibus,4r,6,a,B,T2,P0,F2,S22,,,
uacuo,,,,inanio  ,,4r,6,b,B,T2,P0,F2,S22,,,
tenuo,,,,exilẽ facio,exilem facio,4r,6,c,B,T2,P0,F3,S23,,,tenus. Tenuor
sinuo,,,,cõplico,complico,4r,7,a,B,T2,P0,F2,S22,,,Sinus. sinuo .id est curuo
continuo,,,,c̃iungo,coniugo,4r,7,b,B,T2,P0,F2,S22,,,A continuus continuo/Continuo assiduo . coniungo sotio. 
ininuo,,,,demonstro,demonstro,4r,7,c,B,T2,P0,F2,S22,,,
fluctuo ,,,,uacillo,,4r,7,d,B,T2,P0,F2,S22,,,A fluctus. fluctuo
tumultuor,,,,contendo,,4r,7,e,C,T3,P0,F2,S22,,,
uiduo ,,,,diuido,,4r,8,a,B,T2,P0,F2,S22,,,Viduo. Desclor
 estuo,,,,ferueo,,4r,8,b,B,T2,P0,F2,S22,,,
mutuor,,,,inꝓmudo,inpromudo ,4r,8,c,B,T2,P0,F3,S22,,*plutot (inpromutuo) ? * imprumedar,Mutuus. Mutuo / Mutuus. Cõmodatus
sed illa ,,,,s̃  uerba,scilicet uerba,4r,12,,B,T2,P0,F2,S53,,,
adherentia,,,,s̃ copulata & coïunta uidelicet ꝑ diriuatione,copulata et coïunta uidelicet per diriuatione,4r,13,,B,T2,P0,F3,S23,,,
pio,,,,purgo,,4r,14,a,B,T2,P0,F2,S22,,,
hio,,,,aperio,,4r,14,b,B,T2,P0,F2,S22,,,
nuntius,,,,legatꝰ,legatus,4r,17,,B,T2,P0,F2,S22,,,
sotius,,,,comes uicinꝰ,comes uicinus,4r,19,,B,T2,P0,F3,S22,,,
sautius,,,,uulneratus,uulneratus,4r,21,,A,Τ1,P0,F2,S22,,,
curia,,,,domꝰ,domus,4r,23,,B,T2,P0,F2,S22,,,
Radius,,,,uirga ,,4r,25,a,B,T2,P0,F3,S22,,,
Radius,,,,geometricalis,,4r,25,b,C,T3,P0,F2,S22,,,
conciliũ,,,,iudiciũ,iudicium,4r,29,,B,T2,P0,F2,S22,,"Concilior . Consotio *consocio, LatinitasItalica coniungo",Concilior . Consotio
defolio,,,,detrao,detraho,4r,32,,B,T2,P0,F2,S22,,,
spolium,,,,detra[h]ĩ polu,,4r,33,,B,T2,P0,F3,S22,,,
sumnium,,,,uisio,,4r,35,,B,T2,P0,F2,S22,,,
sũnio sũnias,sumnio sumnias,,,ł sõnior sũniaris ,uel somnior sumniaris ,4r,36,,B,T2,P1 right,F3,S611,,,
sũnio sũnias,,,dicitur m̃ a grecoꝝ ardiũ sõ/ [ni]um ł excitatio,,,4r,36,,A,T1,P1 right,F4,S23,,,
delinio,,,,lineã destro ł unguo,lineam destro uel unguo,4r,37,,B,T2,P0,F3,S22,,, Delinio.blandior
auxilium,,,,adiutoriũ [adiuta]?,adiumentum ?,4r,38,,B,T2,P0,F3,S22,,,
decorio,,,,e criñabis traho,,4r,41,,B,T2,P0,F4,S23,,,
furio,,,,insanio,,4r,42,,B,T2,P0,F2,S22,,,furior. insanio ł seuio
furio,,,ł furior ari,,uel furior ari,4r,42,,B,T2,P1 right,F2,S22,,,
uarius,,,,diuersus ,,4r,43,a,C,T3,P0,F2,S22,,,
uario,,,,?rrubo,,4r,43,b,B,T2,P0,F2,S22,,,
basiũ,basium ,,,ba[++],,4r,44,,B,T2,P0,F2,?,,"*basilio, basilica etc. // Inde basilica dicitur regalem templum ",basilius. primꝰ ł princeps; basilio. basilicã edifico ł principor
fiducia,,,,qͣsi c̃fido,quasi confido,4r,45,a,B,T2,P0,F2,S22,,,
repudium,,,,reicio,reicio,4r,45,b,B,T2,P0,F2,S22,,,
tripudium,,,,gaudiũ,gaudium,4r,46,c,B,T2,P0,F2,S22,,,
spatior,,,,ãplifico,amplifico,4v,1,,B,T2,P0,F2,S22,,,
deprecio,,,,uilẽ facio,uilem facio,4v,2,,B,T2,P0,F3,S22,,,Dep̃cio. uilẽfacio
initium,,,,inchoatuꝫ,inchoatum,4v,3,,B,T2,P0,F2,S22,,,
uitio,,,,corrupcio,corrputio,4v,4,,B,T2,P0,F2,S22,,,
desinens ,,,,t̃minans,terminans,4v,6,a,B,T2,P0,F2,S22,,,
nom̃,nomen,,,s pͥmitiuũ,scilicet primitiuum,4v,6,b,B,T3,P0,F2,S53,,,
appositũ,appositum,,,e associatũ,est associatum,4v,7,,B,T2,P0,F2,S22,,,
hio,,,,aperio,,4v,9,a,C,T3,P0,F2,S22,,,
pio,,,,purgo,,4v,9,b,B,T3,P0,F2,S22,,,Pio .purgo placo
pio,,,,mundo,,4v,9,c,A,T2,P0,F2,S22,,,
quodlicet,,,,s uerbũ,scilicet uerbum,4v,10,,C,T3,P0,F2,S53,,,
amplio ,,,,dilato,,4v,11,a,B,T2,P0,F2,S22,,,
amplior,,,,cõpatiuus,comparatiuus,4v,11,b,B,T2,P0,F2,S34,,,
quo utebantur,,,,s nomine,scilicet nomine,4v,13,,C,T3,P0,F2,S53,,,
satias,,,,ĩ sacietas.,id est sacietas,4v,14,,C,T3,P0,F3,S22,,,
lanio,,,,lacero ,,4v,15,a,A,T2,P0,F2,S22,,,Lanius. laniator;
lanio,,,,disrũpo,disrumpo,4v,15,b,B,T2,P0,F2,S22,,,
qđ idẽ,quod idem,,,iãp̃dictꝰ,iam predictus,4v,16,,B,T2,P0,F3,S53,,,
per apocopã ,,,,ꝑablacionẽ  ,per ablacionem,4v,17,a,B,T2,P0,F3,S53,,,
lani,,,,Quasi carnifex,,4v,17,b,C,T3,P0,F3,S23,,,
fartores,,,,repletores,,4v,17,c,B,T2,P0,F2,S22,,"*piscatores *σχῆμα comicum, nam in palliata Romanas res loquitur.
*nomenclatores, qui clam velut infercirent nomina salutatorum in aurem candidati. 
*replentes ????",farcio. Impleo
priuatũ,priuatum,,,aliena,,4v,20,,m0,T0,P0,F2,S22,,,
