,folio,lemma_id,lemma,gloss_id,gloss_Bamberg,gloss_type_Bamberg,gloss_form_Bamberg,nature,marginal_note_id,marginal_note_type,marginal_note_form,gloss_Lat14087,gloss_type_Lat14087,gloss_form_Lat14087
0,71r,p447_l05_o05,DOCTORIBVS ,p447_l05_o05_a,PRAECEP ͭ ͦ ͬ ͥᵇ ͧ ᷤ,S22,F2,shorthand,,,,Preceptor. doctor ł magifter,S22,F3
1,71r,p447_l05_o06,AVDITORVM ,p447_l05_o06_a,discipulorũ,S22,F2,normal,,,,Adiutor/ discipulus ,S23,F2
2,71r,p447_l18_o05,barutonos ,p447_l18_o05_a,bari apud g̃cos dr̃ grauis tonos accentꝰ inde/baritonos id ÷ grauis accentus,S211,F4,normal,,,,Barithonos/Aliena atona,S23,F3
3,71r,p448_l02_o08,ꝑispomene ,p448_l02_o08_a,peri DIC ͥ ͭ ͧ ͬ circũ UNDE perispomene IDEST CIRCUM FLEXIBILIS,S211,F4,normal,,,,Perspomene. quasi circũ flexo,S211,F3
4,71r,p448_l20_o07,sodes ,p448_l20_o07_a,si audes,S25,F3,normal,,,,si audes,S25,F3
5,71v,p449_l01_o07,purpurasco ,,,,,,p449_l01_o07_a,S22,F3,A purpura ł purpureo purpurasco,S55,F3
6,71v,p449_l02_o04,glisco  ,p449_l02_o04_a,crescere INCIPI ͦ,S23,F3,normal,,,,A glis glisco id est cresco // Geo.glisco ł cresco.,S54,F4
7,71v,p450_l01_o03,intueor ,p450_l01_o03_a,cerno,S22,F2,normal,,,,Conspicior. oculos subito intendo. intueor contẽplor.,S23,F4
8,71v,p450_l02_o01,meo ,p450_l02_o01_a,transeo,S22,F2,normal,,,,Defluo Decurro mano,S22,F3
9,71v,p450_l02_o04,enucleo ,p450_l02_o04_a,manifesto,S22,F2,normal,,,,Nucleo. claudo,S22,F2
10,71v,p450_l05_o01,c̃iugatio ,p450_l05_o01_a,sola,S611,F2,normal,,,,Alluo suꝑunodo /ꝓfundo,S22,F3
11,71v,p450_l05_o06,induo ,p450_l05_o06_a,circũdo,S22,F2,normal,,,,Vestio circũdo induo togo.,S22,F3
12,71v,p450_l05_o11,alluo ,p450_l05_o11_a,inundo,S22,F2,normal,,,,suꝑundo ꝓfundo,S22,F3
13,71v,p450_l06_o07,fatuo ,p450_l06_o07_a,hębeo,S22,F2,normal,,,,fatuor hebesco,S22,F2
14,71v,p450_l06_o09,liquor ,p450_l06_o09_a,-,S11,F1,normal,,,,Liquor humor,S22,F2
15,71v,p450_l08_o08,uacuo ,p450_l08_o08_a,exinanio,S22,F2,normal,,,, A uacuus. uacuo,S54,F3
16,71v,p450_l08_o09,uiduo ,p450_l08_o09_a,desero ł orbo,S22,F3,normal,,,,A uiduus uiduo,S54,F3
17,71v,p450_l09_o02,c̃tinuo ,p450_l09_o02_a,ꝓtelo +? CONIUNC ͭ ͧ ͫ ? QUAE COEP ͥ ͭ ͧ ͬ FAC ͭ ͧ ͫ ?,S23,F4,normal,,,,A continuus/Continuo assiduo . coniungo sotio. ,S22,F3
18,71v,p450_l09_o03,fluctuo ,p450_l09_o03_a,titubo,S22,F2,normal,,,,A fluctus fluctuo,S54,F3
19,71v,p450_l09_o04,ęstuo ,p450_l09_o04_a,ferueo,S22,F2,normal,,,,Ab estus. eftuo;,S54,F3
20,72r,p450_l16_o07,decurio ,,,,,,p450_l16_o07_b,S23,F5,Decurio. excogito ł concilior ,S22,F3
21,72r,p450_l18_o08,c̃silio ,p450_l18_o08_a,c̃siliũ do,S23,F4,normal,,,,Concilior . Consotio coniugo,S22,F3
22,72r,p450_l20_o04,delinio ,p450_l20_o04_a,blandior,S22,F2,normal,,,,Delinior blandior,S22,F2
23,72r,p450_l26_o01,pio ,p450_l26_o01_a,mundo,S22,F2,normal,,,,Pio purgo placo,S22,F3
24,72r,p451_l09_o02,farcio ,p451_l09_o02_a,repleo,S22,F2,normal,,,,farcio. impleo;,S22,F4
25,72r,p451_l09_o03,expedio ,p451_l09_o03_a,absoluo,S22,F2,normal,,,,Expedio a periodico.ł ꝓsũ,S23,F3
26,72r,p451_l10_o02,pręsagio ,p451_l10_o02_a,futura p̃dico,S23,F4,normal,,,,P̃dico. cis. futura. antedico . P̃dico cas; deuulgo. p̃mono. narro. palã refero.,S23,F4
27,72r,p451_l10_o05,stabilio ,p451_l10_o05_a,c̃firmo,S22,F2,normal,,,,loco. stabilo colloco. statuo ł mercedẽ contduco. ,S23,F4
28,72r,p451_l11_o04,insignio ,p451_l11_o04_a,nobilito,S22,F2,normal,,,,insignior. orno. nobilito,S22,F3
29,72r,p451_l12_o02,sopio ,p451_l12_o02_a,dormio,S22,F2,normal,,,,Sopio Dormio,S22,F2
30,72r,p451_l12_o03,ferio ,p451_l12_o03_a,ꝑcutio,S22,F2,normal,,,,Exsicco ł ferio,S22,F2
31,72r,p451_l12_o06,garrio ,p451_l12_o06_a,garrire auiũ ÷ PROPRI ͤ,S23,F3,normal,,,,Garrio/ Murmuro perstrepo,S22,F3
32,72r,p451_l12_o07,ligurrio ,p451_l12_o07_a,lingo,S22,F2,normal,,,,Ligurrio deglutio,S22,F2
33,72r,p451_l13_o01,prurio ,p451_l13_o01_a,scabeo,S22,F2,normal,,,,Prurio /scalpo ł uror,S22,F3
34,72r,p451_l14_o02,blandior ,p451_l14_o02_a,adulor,S22,F2,normal,,,,Lacto decipio. blandior .,S22,F3
35,72r,p451_l23_o05,potior ,p451_l23_o05_a,fruor,S22,F2,normal,,,,Potior fruor,S22,F2
36,72v,p452_l17_o04,mancipo ,p452_l17_o04_a,subdo,S22,F2,normal,,,,Mancipo. manu capta trado  ł in seruitutẽ redigo  ł manifesto,S23,F4
37,72v,p452_l18_o07,pręsideo ,p452_l18_o07_a,p̃sum,S22,F2,normal,,,,P̃sideo ꝓtego subleuo opitulor. suffragor ł ꝓpugno,S22,F3
38,72v,p452_l21_o01,Obsequor ,p452_l21_o01_a,obtẽpero,S22,F2,normal,,,,Obsequor famulor,S22,F2
39,72v,p452_l22_o04,iusticiũ ,p452_l22_o04_a,locꝰ UBI IUSTI ͭ ͥ ͣ FIT,S23,F4,shorthand,,,,Iustitum publicus luctus ł puiblici iuris silentũ,S23,F3
40,72v,p452_l23_o03,Perpendo ,p452_l23_o03_a,m̃suro ł penso,S22,F3,normal,,,,ꝑpendo. m&ior ł estimo. ł libro ł diligent̃ uideo;,S23,F4
41,72v,p452_l24_o07,ferculũ ,p452_l24_o07_a,discus,S22,F2,normal,,,,ferculũ discus,S22,F2
42,73r,p453_l10_o11,Marceo ,p453_l10_o11_a,areo,S22,F2,normal,,,,Marceo. langueo. ł areo,S22,F3
43,73r,p453_l14_o03,Liquor ,p453_l14_o03_a,fluo,S22,F2,normal,p453_l14_o03_b,S23,F4,Liquor defluo. labor,S22,F3
44,73r,p453_l26_o11,Luo ,p453_l26_o11_a,sustineo/ł soluo,S22,F3,normal,p453_l26_o11_b,S63,F3,Luo penã soluo,S23,F4
45,73r,p453_l27_o01,Lues ,p453_l27_o01_a,pestis,S22,F2,normal,,,,lues pestilentia ł clades / lues pestis,S22,F3
46,73r,p453_l27_o03,strues ,p453_l27_o03_a,c̃genies t̃rę aug? cumulus,S23,F3,normal,,,,c̃geries cuiꝰ lib& regi,S23,F3
47,73r,p453_l29_o02,nubilis ,p453_l29_o02_a,puella apta (ad nubendum?),S23,F3,shorthand,p453_l29_o02_b,S63,F2,Nubilis ad nubendũ habilis,S23,F3
48,73r,p453_l29_o08,effutilis ,p453_l29_o08_a,uanus instab̶is,S22,F3,normal,p453_l29_o08_b,S63,F3,Effutilis inutilis ł in stablis uanꝰ ł loquax; ,S22,F3
49,73r,p453_l30_o01,occiduus ,p453_l30_o01_a,transitiuus,S22,F2,normal,,,,occidualis/occidentalis,S22,F3
50,73r,p453_l30_o05,ceduus ,p453_l30_o05_a,incedens,S22,F2,normal,p453_l30_o05_b,S62,F3,Inceduus inaccessiblis sine+cila? ;,S22,F3
51,73r,p454_l03_o04,fallo ,p454_l03_o04_a,(mentior?),S22,F2,shorthand,,,,decipio frustror,S22,F2
52,73v,p454_l17_o07,ꝓnuba ,p454_l17_o07_a,ꝗ nubentib p̃est,S23,F3,normal,p454_l17_o07_b,S63,F2,ꝓnuba. quę nubentibus p̃÷ łquae utrũq c̃iugit;,S23,F4
53,73v,p454_l18_o06,Lenio ,p454_l18_o06_a,sedo/placo,S22,F3,normal,,,,Convena de diuersis uenientes locis,S23,F3
54,73v,p454_l22_o01,Cubo ,p454_l22_o01_a,iaceo,S22,F2,normal,p454_l22_o01_b,S54,F3,Cubo reqͥesco.,S22,F2
55,73v,p454_l23_o11,incubo ,p454_l23_o11_a,insisto,S22,F2,normal,,,,Incubo immineo. insto.,S22,F3
56,73v,p454_l26_o04,ꝓpago ,p454_l26_o04_a,dilato,S22,F2,normal,,,,ꝓpago linea generis,S23,F3
57,73v,p455_l03_o01,uas. ,p455_l03_o01_a,pignꝰ,S22,F2,normal,,,,uas. uadis. pignus ł uadimoniũ,S22,F3
58,73v,p455_l03_o07,fulcrũ ,p455_l03_o07_a,ornam̃tũ lecti,S23,F3,normal,p455_l03_o07_b,S4181,F4,fulcrũ.ornam̃tũ lecti. dictũ qđ eo fultam᷑ id ÷ sustentem᷑ ł lectus & cubile;,S23,F4
59,73v,p455_l10_o05,compos ,p455_l10_o05_a,adeptor uoti,S23,F3,normal,,,,Cõpos possessor ł assecutor uoti;,S23,F3
60,73v,p455_l10_o08,auspex ,p455_l10_o08_a,augur,S22,F2,normal,p455_l10_o08_b,S63,F3,Auspex. qͥ auiũ auspicia id÷ quasi ospitia captat.,S23,F4
61,74r,p455_l28_o03,Obrigatio ,p455_l28_o03_a,adaquatio,S22,F2,normal,p455_l28_o03_b,S63,F2,Obrigatio caretio. induratio ł congelatio,S22,F3
62,74r,p455_l30_o02,Fultor ,p455_l30_o02_a,sustentator,S22,F2,normal,p455_l30_o02_b,S63,F3,Flutor sustentator,S22,F2
63,74r,p456_l06_o08,Altilis ,p456_l06_o08_a,auis ꝗ sanginat᷑,S23,F4,normal,,,,Altilis studiose saginatꝰ,S22,F3
64,74r,p456_l10_o11,Ambages ,p456_l10_o11_a,circutiones/ãfractus,S22,F3,normal,p456_l10_o11_b,S63,F2,Ambages uerboꝵ circuitꝰ sermonũ ꝑplexitas;,S23,F3
65,74v,p456_l18_o07,Censura ,p456_l18_o07_a,iudiciũ,S22,F2,normal,p456_l18_o07_b,S63,F2,Censura decus. seueritas. honor iuditia,S22,F2
66,74v,p457_l16_o02,inspico ,p457_l16_o02_a,fundo,S22,F2,normal,,,,Inspico. Ad ęqualitatẽ spicarũ acuo ł findo; ,S23,F4
67,74v,p457_l18_o02,Trutina ,p457_l18_o02_a,lanx,S22,F2,normal,,,,Trutina pensa statera mensura,S22,F3
68,74v,p457_l18_o03,trutino ,p457_l18_o03_a,pondero,S22,F2,normal,,,,Trutino. pondero ł ꝓpendo,S22,F3
69,74v,p457_l18_o05,Machina ,p457_l18_o05_a,ędificiũ,S222,F2,normal,p457_l18_o05_b,S63,F3,Machinor molior exquiro. fabrico. paro c̃fitio. Exstruo,S22,F3
70,74v,p457_l19_o02,Nundinę ,p457_l19_o02_a,mercatũ,S22,F2,normal,,,,Nundinę loca mercati id ÷ argisteria.,S23,F3
71,74v,p457_l19_o03,nundinor ,p457_l19_o03_a,merchor,S22,F2,normal,,,,Nundinor meror . Emo. comparo.,S22,F3
72,75r,p457_l21_o10,Multa ,p457_l21_o10_a,census ł̃ tributũ,S22,F3,normal,,,,Multa occisio. ł int̃emptio,S22,F3
73,75r,p457_l21_o11,multo ,p457_l21_o11_a,c̃d̃ẽno,S22,F2,normal,p457_l21_o11_b,S63,F2,condẽpno uexo. lacero ł iterimo,S22,F3
74,75r,p457_l22_o05,Lixa ,p457_l22_o05_a,seruus militũ s. mercenarius,S23,F3,normal,,,,Lixa aqua lipida,S23,F3
75,75r,p457_l23_o02,bachor ,p457_l23_o02_a,sęuio,S22,F2,normal,,,,Bachor cũ furore discurro . insanio ł seuio,S23,F4
76,75r,p457_l26_o07,probus ,p457_l26_o07_a,bonus +,S22,F3,normal,p457_l26_o07_b,S63,F2,ꝓbus. benemoratꝰ. honestus. Festiuus decens . grauis ,S22,F3
77,75r,p457_l28_o05,uagor ,p457_l28_o05_a,+++,S23,F4,normal,,,,uagor. circũfero discurro. erro ,S22,F3
78,75r,p457_l28_o13,desolo ,p457_l28_o13_a,deuasto,S22,F2,normal,,,,Desolo destituo nudo inopẽ facio.,S23,F4
79,75r,p457_l30_o06,Serenꝰ ,p457_l30_o06_a,tranquillus ł mitis,S22,F3,normal,,,,Serenus. purus. tranquillus . placidus.,S22,F3
80,75r,p457_l34_o05,Apto ,p457_l34_o05_a,accõmodo,S22,F2,normal,,,,Apto. c̃iungo ł sotio,S22,F2
81,75r,p457_l34_o08,Solllicito ,p457_l34_o08_a,curo,S22,F2,normal,,,,Sollicito. inquięto. molesto. ,S22,F3
82,75r,p457_l35_o09,Viduus ,p457_l35_o09_a,desertus,S22,F2,normal,p457_l35_o09_b,S63,F2,uiduus. alienus. sterilis. Diuisus separatus,S22,F3
83,75r,p457_l35_o10,uiduo ,p457_l35_o10_a,+,S22,F2,shorthand,,,,Viduo. desclor,S22,F2
84,75r,p458_l01_o11,Suffoco ,p458_l01_o11_a,strangulo,S22,F2,normal,p458_l01_o11_b,S54,F4,Fuco tingo. inficio. depingo.,S22,F3
85,75r,p458_l02_o10,Stimulo ,p458_l02_o10_a,incito,S22,F2,normal,,,,Stimulo urgeo  fimo. Sordeo,S22,F3
86,75r,p458_l03_o06,T̃minꝰ ,p458_l03_o06_a,finis,S22,F2,normal,,,,M&a finis ,S22,F2
87,75r,p458_l03_o10,ꝑenno ,p458_l03_o10_a,ꝓtelo,S22,F2,normal,p458_l03_o10_b,S63,F2,ꝑenno. ꝑannos ago,S25,F3
88,75r,p458_l05_o07,Stomachor ,p458_l05_o07_a,irascor,S22,F2,normal,p458_l05_o07_b,S63,F2,Stomachor . lacero . lrascor.,S22,F3
89,75r,p458_l06_o06,Libũ ,p458_l06_o06_a,libam̃/p̃gustatio,S22,F3,normal,p458_l06_o06_b,S4181,F4,Libũ .genus dulciam̃ti ł libam̃tũ ,S222,F3
90,75r,p458_l06_o07,libo ,p458_l06_o07_a,sacrifico/p̃gusto,S22,F3,normal,,,,libo sacrifico. uel deglisto.,S22,F3
91,75r,p458_l07_o06,Peculiũ ,p458_l07_o06_a,possessio ++,S22,F3,shorthand,p458_l07_o06_b,S63,F2,peculiũ pecunia,S22,F2
92,75r,p458_l07_o07,depeculor ,p458_l07_o07_a,deuasto,S22,F2,normal,,,,Depeculior depopulor conpilo. Exhaurio  e uesto,S22,F3
93,75r,p458_l11_o11,ꝑagro ,p458_l11_o11_a,ꝑlustro,S22,F2,normal,,,, ꝑagror circũeo ꝑãbo ꝑtranseo.giro. uagor,S22,F3
94,75r,p458_l17_o07,Ctionor ,p458_l17_o07_a,c̃tionẽ alloquor,S23,F4,normal,p458_l17_o07_b,S63,F2,Contionor . alloquor,S22,F2
95,75r,p458_l18_o05,deuirgino ,p458_l18_o05_a,+,S22,F2,shorthand,p458_l18_o05_b,S63,F2,Deuirgino corrũpo. c̃tamino,S22,F2
96,75r,p458_l19_o03,lacto ,p458_l19_o03_a,decipio (alo nutrio siue lac?) do,S23,F4,normal,p458_l19_o03_b,S63,F2,Lacto . decipio. blandior .,S22,F2
97,75r,p458_l21_o06,exubero ,p458_l21_o06_a,abundo,S22,F2,normal,,,,Exuberor abundo,S22,F2
98,75r,p458_l21_o09,aggero ,p458_l21_o09_a,accumulo,S22,F2,normal,,,,Aggeror. comulo. congrego,S22,F3
99,75r,p458_l24_o09,auguro ,p458_l24_o09_a,auguriis (facio)?,S23,F4,normal,,,,Auguro. Omina capito,S23,F3
100,75r,p458_l25_o06,nugas ,p458_l25_o06_a,turpis,S22,F2,normal,p458_l25_o06_b,S63,F2,Nugas turpes. uanos. inutiles. uanos maculosos.,S22,F3
101,75r,p458_l25_o08,nugor ,,,,,,p458_l25_o08_a,S63,F2,Nugor t᷑pit̃ ago,S23,F3
102,75r,p458_l26_o01,Vas ,p458_l26_o01_a,(qđ rustice dr̃) uuatges,S21,F4,normal,,,,uas. uadis pignus ł uadimoniũ,S22,F3
103,75r,p458_l26_o03,Vador ,p458_l26_o03_a,+++ transeo,S22,F3,shorthand,p458_l26_o03_b,S63,F2,uador. ꝓmitoo. causã ago. Fidẽ fatio,S23,F4
104,75r,p458_l26_o07,aries ,p458_l26_o07_a,+,S23,F4,shorthand,,,,Aries machina,S222,F2
105,75r,p458_l27_o02,comitor ,p458_l27_o02_a,subsequor,S22,F2,normal,,,,Comito. comeseo. ꝓsequor,S22,F3
106,75r,p458_l27_o05,sedo ,p458_l27_o05_a,mitigo/placo,S22,F3,normal,p458_l27_o05_b,S63,F2,Sedo. Mollio placo. Mitigo // Sedo. pacifico. mitigo. ,S22,F3
107,75r,p458_l29_o09,detestor ,p458_l29_o09_a,abominor,S22,F2,normal,,,, Detestor abominor,S22,F2
108,75v,p459_l03_o05,lego ,p459_l03_o05_a,legẽ facio +++,S23,F4,shorthand,p459_l03_o05_b,S63,F2, lego legas. tes,S24,F3
109,75v,p459_l04_o07,Pernox ,p459_l04_o07_a,ꝑuigil,S22,F2,normal,,,,ꝑnox ꝑuigl,S22,F2
110,75v,p459_l07_o07,ęstuo ,p459_l07_o07_a,caleo,S22,F2,normal,,,,ab estus. eftuo,S54,F3
111,75v,p459_l13_o03,nisus ,p459_l13_o03_a,conam̃,S22,F2,normal,p459_l13_o03_b,S63,F3,Nisus conam̃ cestam̃,S22,F3
112,75v,p459_l13_o05,Notus ,p459_l13_o05_a,notam̃,S22,F2,normal,,,,Notꝰ a nosco,S54,F3
113,75v,p459_l14_o03,acies ,p459_l14_o03_a,exercitꝰ / a acuo,S54,F3,normal,p459_l14_o03_b,S63,F2,Acies. ab acuo,S54,F3
114,75v,p459_l14_o04,Facies ,p459_l14_o04_a,credulitas/a fido,S54,F3,normal,,,,facies a fatio,S54,F3
115,75v,p459_l14_o05,Fides ,p459_l14_o05_a,̃a facio,S54,F3,normal,,,,fides a  fido,S54,F3
116,75v,p459_l14_o06,Res ,p459_l14_o06_a,a VERB ͧ ͫ  reor,S54,F3,normal,,,,Res a reor,S54,F3
117,75v,p459_l32_o11,indagor ,p459_l32_o11_a,inuestigo ł exploro,S22,F3,normal,,,,indagor. Inuestigo. inquiro,S22,F3
118,76r,p461_l01_o07,mancipo ,p461_l01_o07_a,subdo,S22,F2,normal,,,,Mancipo. manu capio in seruitutẽ redigo,S23,F4
119,76v,p461_l10_o04,Humus ,p461_l10_o04_a,tellus,S22,F2,normal,,,,Humo humi trado ł sepelio.,S22,F3
120,76v,p461_l17_o06,ingurgito ,,,,,,p461_l17_o06_a,S63,F2,Ingurgito. p̃cipitẽdo,S22,F2
121,76v,p461_l19_o07,ꝓcrastino ,p461_l19_o07_a,ꝓtelo ꝓlongo,S22,F3,normal,p461_l19_o07_b,S63,F2,ꝑendie.  ꝓ̃cras. uel p̃tertium diem ł antediem.,S23,F3
122,76v,p461_l20_o02,Comꝑendino ,p461_l20_o02_a,s. ꝓlongo,S22,F2,normal,p461_l20_o02_b,S63,F2,cõꝑendino. in t̃tiũ diẽ ꝓtraho ł differo,S23,F4
123,76v,p462_l06_o07,uello ,p462_l06_o07_a,carpo,S22,F2,normal,,,,Vello moueo,S22,F2
124,76v,p462_l06_o09,uellico ,p462_l06_o09_a,+++,S54,F4,shorthand,p462_l06_o09_b,S63,F2,Vellico cauillor,S22,F2
125,76v,p462_l10_o02,sarcino ,p462_l10_o02_a,pondero,S22,F2,normal,,,,sarcinor oneror,S22,F2
126,77r,p463_l08_o06,Bulla ,p463_l08_o06_a,uesiculę camelorũ,S23,F3,normal,p463_l08_o06_b,S63,F2,Bulla inflatio auqarũ ł ornam̃ in similitudine inflatioñ spumę aquarũ,S23,F4
127,77r,p463_l09_o08,largior ,p463_l09_o08_a,tribuo,S22,F2,normal,,,,Largior g{r}atiã p̃sto,S23,F4
128,77r,p463_l15_o06,sepio ,p463_l15_o06_a,circũdo,S22,F2,normal,,,,Sepior circũdo uallo,S22,F3
129,77r,p463_l18_o10,calx ,p463_l18_o10_a,extrema (pars pedis),S23,F3,normal,,,,calx posterior pars pedis,S23,F3
130,77r,p463_l19_o04,calceus ,p463_l19_o04_a,calcianti,S22,F2,normal,,,,Calcius soccus unde caltinaria,S24,F3
131,77v,p463_l25_o02,m&a ,p463_l25_o02_a,finis,S22,F2,normal,p463_l25_o02_b,S63,F3,M&a finis,S22,F2
132,77v,p463_l25_o03,M&or ,p463_l25_o03_a,figo,S22,F2,normal,,,,termino finio,S22,F2
133,77v,p463_l25_o09,M&ior ,p463_l25_o09_a,m̃suro,S22,F2,normal,,,,M&ior constituo castra designo,S23,F4
134,78r,p465_l22_o08,gratificor ,p465_l22_o08_a,++,S22,F3,shorthand,,,, Gratificor gratis fatio,S25,F3
135,78r,p465_l23_o02,ludificor ,p465_l23_o02_a,+,S22,F2,shorthand,,,,ludifico. eludo ,S22,F2
136,78r,p465_l24_o04,Morigeror ,p465_l24_o04_a,mores gero,S25,F4,normal,p465_l24_o04_b,S63,F2,Morigeror morib; cõpno,S23,F4
137,78r,p465_l25_o11,polliceor ,p465_l25_o11_a,spondeo,S22,F2,normal,,,,ꝓmitto polliceor. ,S22,F2
138,78r,p465_l28_o07,Amicior ,p465_l28_o07_a,circũdo,S22,F2,normal,p465_l28_o07_b,S63,F2,Amicior . Vestio circũdo induo togo,S22,F3
139,78r,p465_l28_o08,blandior ,p465_l28_o08_a,adulor,S22,F2,normal,,,,Blandior. placeo,S22,F2
140,78r,p465_l29_o01,largior ,p465_l29_o01_a,imꝑtior,S22,F2,normal,,,,Largior gatiã ͣp̃to,S23,F4
141,78r,p465_l29_o03,opperior ,p465_l29_o03_a,p̃stolor,S22,F2,normal,p465_l29_o03_b,S63,F2,Opperior expecto. cupio. spero,S22,F3
142,78r,p465_l29_o07,assentior ,p465_l29_o07_a,assensꝰ+,S25,F4,shorthand,p465_l29_o07_b,S63,F2,Assentior. Adulor palpor ,S22,F3
143,78v,p466_l05_o04,Vador ,p466_l05_o04_a,a uado,S54,F3,normal,p466_l05_o04_b,S63,F2,Vador. ꝓmitto. causã ago. fidẽ fatio,S23,F4
144,78v,p466_l06_o09,aduersor ,p466_l06_o09_a,c̃trouersor,S22,F2,normal,,,,Aduersor Refragor obnitor. Reducto,S22,F3
145,78v,p466_l21_o08,Nanciscor ,p466_l21_o08_a,assequor,S22,F2,normal,,,,Nasiciscor Adipiscor Assequor Potior fruor,S22,F3
146,78v,p466_l22_o02,adipiscor ,p466_l22_o02_a,consequor,S22,F2,normal,,,,Adipiscor conor / Nasiciscor Adipiscor Assequor,S22,F3
147,78v,p466_l21_o09,Paciscor ,p466_l21_o09_a,pacẽ facio,S23,F4,normal,,,,Pasciscor pacẽ redintegror,S23,F4
148,79r,p467_l08_o12,meo ,p467_l08_o12_a,transeo,S22,F2,normal,,,,Meo Defluo Decurro mano,S22,F3
149,79r,p467_l28_o01,scaber& ,,,,,,p467_l28_o01_a,S63,F2,scaber& fricar&,S22,F2
150,79r,p468_l09_o05,incũbo ,p468_l09_o05_a,insisto,S22,F2,normal,,,,Incubo immineo. insto,S22,F3
151,79r,p468_l09_o07,ꝓcũbo ,p468_l09_o07_a,ꝓcido,S22,F2,normal,,,,ꝓcũbo cado declino,S22,F3
152,79r,p468_l10_o03,succũbo ,p468_l10_o03_a,sub cũbo,S25,F3,normal,,,,Succubo superor lassor,S22,F3
153,79r,p468_l19_o03,indico ,p468_l19_o03_a,intimo,S22,F2,normal,,,,Indico fieri iubeo,S23,F3
154,79r,p468_l19_o04,abdico ,p468_l19_o04_a,repello abnuo,S22,F3,normal,,,,Abidico. Exheredo Abicio Respuo,S22,F3
155,79v,p468_l26_o05,loco ,p468_l26_o05_a,colloco,S22,F2,normal,,,,Loco. stabilo colloco. statuo ł mercedẽ contduco,S23,F4
156,79v,p468_l32_o04,Dico ,,,,,,p468_l32_o04_a,S63,F2,Dico dicas :consecro uł dono / dico dicis : Narro,S23,F3
157,79v,p468_l34_o08,Edico ,,,,,,p468_l34_o08_a,S53,F2,edico cis p̃dico p̃nuntio ł p̃cipio,S22,F3
158,79v,p469_l29_o10,Sulco ,,,,,,p469_l29_o10_a,S63,F3,Sulco. seco. duudo. sodio ł transeo,S22,F3
159,80r,p470_l21_o03,Ludificor ,p470_l21_o03_a,deludo,S22,F2,normal,p470_l21_o03_b,S63,F2,Ludificor deludo fallor? decipio frustror,S22,F3
160,80r,p471_l06_o01,delapido ,p471_l06_o01_a,defraudo,S22,F2,normal,p471_l06_o01_b,S63,F2,Delapido Erogo ꝓdico  ꝑdo exhaurio consumo superuacuũ .Expendo Inuado,S22,F3
161,80r,p471_l17_o02,Rodo ,p471_l17_o02_a,deuoro,S22,F2,normal,,,,Rodo mordeo  ,S22,F2
162,82v,p480_l15_o11,aucupor ,p480_l15_o11_a,uenare ł aues capio,S23,F4,normal,p480_l15_o11_b,S63,F3,Aucupor affecto. lnsdior Adipiscor conor.,S22,F3
163,83r,p481_l09_o03,lacero ,p481_l09_o03_a,lanio,S22,F2,normal,,,,lacero ł iterimo,S22,F2
164,84r,p485_l13_o03,uexo ,p485_l13_o03_a,fatigo,S22,F2,normal,,,,Vexo Mulco uł affligo.,S22,F3
