,lemma_id,folio_VLO41,lemma_VLO41,gloss_VLO41,gloss_type_VLO41,gloss_form_VLO41,marginal_note_id_VLO41,marginal_note_type_VLO41,marginal_note_form_VLO41,folio_Bamberg,lemma_Bamberg,gloss_id,gloss_Bamberg,gloss_type_Bamberg,gloss_form_Bamberg,nature,marginal_note_id_Bamberg,marginal_note_type_Bamberg,marginal_note_form_Bamberg
139,p451_l11_o10,05r,munio,defendo,S22,F2,,,,72r,punio ,p451_l11_o10_a,dãno ł ulciscor,S22,F3,normal,,,
140,p451_l12_o01,05r,Sepio,circũdo,S22,F2,,,,72r,sępio ,p451_l12_o01_a,circũdo,S22,F2,normal,,,
141,p451_l12_o02,05r,Sopio,dormio,S22,F2,,,,72r,sopio ,p451_l12_o02_a,dormio,S22,F2,normal,,,
142,p451_l12_o03,05r,Ferio,ꝑcucio,S22,F2,,,,72r,ferio ,p451_l12_o03_a,ꝑcutio,S22,F2,normal,,,
143,p451_l12_o05,05r,Aperio,manifesto,S22,F2,,,,72r,aperio ,p451_l12_o05_a,resero,S22,F2,normal,,,
144,p451_l12_o06,05r,Garrio,murmuro,S22,F2,,,,72r,garrio ,p451_l12_o06_a,garrire auiũ ÷ PROPRI ͤ,S23,F3,normal,,,
145,p451_l12_o07,05r,Ligurrio,lango ł gusto.,S22,F3,,,,72r,ligurrio ,p451_l12_o07_a,lingo,S22,F2,normal,,,
146,p451_l13_o01,05r,Prurio,saniem emitte iđ scabiem,S23,F4,,,,72r,prurio ,p451_l13_o01_a,scabeo,S22,F2,normal,,,
147,p451_l13_o04,05r,Inretio,inligo,S22,F2,,,,72r,irretio ,p451_l13_o04_a,inlaqueo,S22,F2,normal,,,
148,p451_l14_o02,05r,blandior,lenior,S22,F2,,,,72r,blandior ,p451_l14_o02_a,adulor,S22,F2,normal,,,
149,p451_l14_o04,05r,ordior,incipio,S22,F2,,,,72r,ordior ,p451_l14_o04_a,incipio,S22,F2,normal,,,
150,p451_l14_o08,05r,sortior,ĩ accipio,S22,F2,,,,72r,sortior ,p451_l14_o08_a,accipio,S22,F2,normal,,,
151,p451_l15_o01,05r,Partior,Diuido & secor,S22,F3,,,,72r,partior ,p451_l15_o01_a,diuido,S22,F2,normal,,,
152,p451_l21_o06,05r,elitio,expͥmo /seduco,S22,F3,,,,72r,elicio ,p451_l21_o06_a,extorqueo ł exprimo,S22,F3,normal,,,
153,p451_l21_o07,05r,inlitio,seduco ł ereo,S22,F3,,,,72r,inlicio ,p451_l21_o07_a,seduco,S22,F2,normal,,,
154,p451_l21_o08,05r,pellitio,in fraudũ duco.,S23,F3,,,,72r,pellicio ,p451_l21_o08_a,decipio,S22,F2,normal,p451_l21_o08_b,S24,F4
155,p451_l21_o09,05r,interfitio,occido,S22,F2,,,,72r,int̃ficio ,p451_l21_o09_a,int̃imo occido,S22,F3,normal,p451_l21_o09_b,S22,F2
156,p451_l21_o10,05r,offitio,noceo,S22,F2,,,,72r,officio ,p451_l21_o10_a,noceo,S22,F2,normal,,,
157,p451_l22_o04,05r,orior,nascor,S22,F2,,,,72r,orior ,p451_l22_o04_a,nascor,S22,F2,normal,,,
158,p451_l23_o05,05r,potior,utor,S22,F2,,,,72r,potior ,p451_l23_o05_a,fruor,S22,F2,normal,,,
159,p451_l33_o03,05v,disserere,manifestare,S22,F2,,,,72v,disserere ,p451_l33_o03_a,exponere,S22,F2,normal,,,
160,p451_l34_o05,05v,ubertati,copie,S22,F2,,,,72v,ubertati ,p451_l34_o05_a,abundantię,S22,F2,normal,,,
161,p451_l35_o08,05v,multa,S̃ uerba,S53,F2,,,,72v,multa ,p451_l35_o08_,sb̶ uerba,S3232,F2,normal,,,
162,p451_l36_o05,05v,genuit,S̃ uerba,S53,F2,,,,72v,genuit ,p451_l36_o05_a,sb̶ natura,S415,F2,normal,,,
163,p452_l02_o04,05v,motu ,ĩ modo,S22,F2,,,,72v,motu ,p452_l02_o04_a,.i. modo,S22,F2,normal,,,
164,p452_l02_o07,05v,eas,terminationes,S3232,F2,,,,72v,eas ,p452_l02_o07_a,sb̶ t̃mina/tiones,S3232,F2,normal,,,
165,p452_l03_o05,05v,traduxit,constituit,S22,F2,,,,72v,transduxit ,p452_l03_o05_a,SUBAUD ͥ ͭ ͧ ͬ IPS ͣ natura,S415,F3,normal,,,
166,p452_l03_o06,05v,quas ,s ipsa natura,S3232,F3,,,,72v,quas ,p452_l03_o06_a,SUBAUD ͥ ͭ ͧ ͬ t̃minationes,S4224,F3,normal,,,
167,p452_l04_o03,05v,adherentia ,ĩ coherentia,S22,F2,,,,72v,adhęrentia ,p452_l04_o03_a,SERU ͣ ᷠ ͭ ͥ ͣ,S22,F2,shorthand,,,
168,p452_l05_o01,05v,origines,principia exordia,S22,F3,,,,72v,origines ,p452_l05_o01_a,INITI ͣ EXORDI ͣ,S22,F3,shorthand,,,
169,p452_l08_o08,05v,distinctę;,diuise separate,S22,F3,,,,72v,distinctę ,p452_l08_o08_a,discretę,S22,F2,normal,,,
170,p452_l13_o08,06r,positionis ,s uerbi,S412,F2,,,,72v,positionis ,p452_l13_o08_a,primę ꝑsonę indicatiui MOD ͥ,S53,F3,normal,,,
171,p452_l15_o08,06r,litigo,rexo,S22,F2,,,,72v,litigo ,p452_l15_o08_a,altercor,S22,F2,normal,,,
172,p452_l15_o09,06r,litigium,iurgium,S22,F2,,,,72v,litigium ,p452_l15_o09_a,rixa,S22,F2,normal,,,
173,p452_l15_o11,06r,commertium,mercimoniũ,S22,F2,,,,72v,cõmertiũ ,p452_l15_o11_a,lucrũ,S22,F2,normal,,,
174,p452_l16_o01,06r,obsono ,contradico,S22,F2,,,,72v,obsono ,p452_l16_o01_a,c̃trasono,S22,F2,normal,,,
175,p452_l16_o02,06r,obsonium,contradictio ł detractio,S22,F3,,,,72v,obsoniũ ,p452_l16_o02_a,CONUIU ͦ uenale,S23,F3,normal,,,
176,p452_l16_o05,06r,edifico,ędẽ fatio/c̃seruo,S23,F3,,,,72v,ędifico ,p452_l16_o05_a,c̃struo,S22,F2,normal,p452_l16_o05_b,S63,F3
177,p452_l17_o01,06r,sacrificium,sacrũ factũ,S25,F3,,,,72v,sacrificium ,p452_l17_o01_a,oblatio,S22,F2,normal,,,
178,p452_l17_o04,06r,mancipo,,,,,,,72v,mancipo ,p452_l17_o04_a,subdo,S22,F2,normal,,,
179,p452_l17_o06,06r,inpero,precipio,S22,F2,,,,72v,impero ,p452_l17_o06_a,regno,S22,F2,normal,,,
180,p452_l17_o07,06r,inperium,p̃ceptũ,S22,F2,,,,72v,imperiũ ,p452_l17_o07_a,POTESTAS REGN ͧ ͫ,S23,F3,shorthand,p452_l17_o07_b,S63,F3
181,p452_l18_o05,06r,gaudeo,letor,S22,F2,,,,72v,gaudeo ,p452_l18_o05_a,gratulor,S22,F2,normal,,,
182,p452_l18_o07,06r,presideo,auxilio,S22,F2,,,,72v,pręsideo ,p452_l18_o07_a,p̃sum,S22,F2,normal,,,
183,p452_l19_o03,06r,remedium,medela,S22,F2,adiutorium,S22,F2,72v,Remediũ ,p452_l19_o03_a,Su ̶ ?  ͭ ͥ ͣ(sanitas?),S22,F2,shorthand,,,
184,p452_l19_o05,06r,conubium,copulatio uiri et femine,S23,F3,,,,72v,conubiũ ,p452_l19_o05_a,c̃iugiũ,S22,F2,normal,,,
185,p452_l20_o01,06r,fastidio,nauseo,S22,F2,,,,72v,Fastidio ,p452_l20_o01_a,nauseo,S22,F2,normal,,,
186,p452_l20_o04,06r,consulo,,,,consulo te int̃rogo/consulo tibi ĩꝓuideo,S41,F4,72v,c̃sulo ,p452_l20_o04_a,c̃siliũ do ꝑcunctor,S23,F4,normal,,,
187,p452_l21_o01,06r,obsequor,obedio pareo,S22,F3,,,,72v,Obsequor ,p452_l21_o01_a,obtẽpero,S22,F2,normal,,,
188,p452_l21_o05,06r,domunculo,domũ facio,S23,F3,,,,72v,domunculo ,p452_l21_o05_a,paruã domũ facio,S23,F4,normal,,,
189,p452_l21_o06,06r,domicilium,parua casida,S23,F3,,,,72v,domiciliũ ,p452_l21_o06_a,domus auiũ,S23,F3,normal,,,
190,p452_l22_o01,06r,solsto ,solstat,S331,F2,,,,72v,Solsto ,p452_l22_o01_a,solẽ stare facio,S23,F4,normal,p452_l22_o01_b,S63,F3
191,p452_l22_o02,06r,solsticium ,Solis stadiũ,S54,F3,,,,72v,solsticiũ ,p452_l22_o02_a,statio solis,S25,F3,normal,,,
192,p452_l22_o04,06r,iusticium ,luctus publicus,S23,F3,,,,72v,iusticiũ ,p452_l22_o04_a,locꝰ UBI IUSTI ͭ ͥ ͣ FIT,S23,F4,shorthand,,,
193,p452_l22_o06,06r,silicernium,senes incuru /Infirmitas senũ,S23,F3,,,,72v,silicernũ ,p452_l22_o06_a,DIC ͥ ͭ ͧ ͬ HOMO QUI SENEC ͭ ͧ ͭ ͤ ͫ ? SU ͥ CERN ͥ ͭ,S23,F4,shorthand,,,
194,p452_l23_o02,06r,ridiculum,Fraus siue irrisio,S22,F3,,,,72v,ridiculũ ,p452_l23_o02_a,derisio,S22,F2,normal,,,
195,p452_l23_o03,06r,perpendo ,Libro / coequo ,S22,F3,ꝑpendiculũ dt᷑ ++ /coequant᷑ maceria,S23,F4,72v,Perpendo ,p452_l23_o03_a,m̃suro ł penso,S22,F3,normal,,,
196,p452_l23_o05,06r,euerso,destruo,S22,F2,,,,72v,Euerso ,p452_l23_o05_a,destruo,S22,F2,normal,p452_l23_o05_b,S63,F2
197,p452_l23_o06,06r,euersiculum,euersio,S22,F2,,,,72v,Euersiculũ ,p452_l23_o06_a,++? ͤ ᷠ ͭ ͥ ͣ(destructio?),S22,F2,shorthand,,,
198,p452_l24_o02,06r,ueo,a ueando,S54,F3,,,,72v,Ueho ,p452_l24_o02_a,++?,S22,F2,shorthand,,,
199,p452_l24_o03,06r,uehiculum,potest di plautrũ ,S22,F4,,,,72v,uehiculũ ,p452_l24_o03_a,plaustrũ,S22,F2,normal,,,
200,p452_l24_o05,06r,periculum,discrim̃,S22,F2,,,,72v,periculũ ,,,,,,p452_l24_o05_a,S21,F4
201,p452_l24_o07,06r,ferculum,Uas ubi cibu ferunt̃,S23,F4,,,,72v,ferculũ ,p452_l24_o07_a,discus,S22,F2,normal,,,
202,p452_l25_o08,06r,iaculum,nisi lũ s̃ nomina,S53,F4,,,,72v,iaculũ ,p452_l25_o08_a,telum,S22,F2,normal,,,
203,p452_l26_o10,06r,regimen,gubernatio regis,S23,F3,,,,72v,regimen ,p452_l26_o10_a,gub̶natio,S22,F2,normal,,,
204,p452_l27_o01,06r,tego,cooperio ,S22,F2,,,,72v,Tego ,p452_l27_o01_a,operio,S22,F2,normal,,,
205,p452_l27_o02,06r,tegimen,cooperimentũ,S22,F2,,,,72v,Tegim̃ ,p452_l27_o02_a,operim̃tũ,S22,F2,normal,,,
206,p452_l29_o01,06v,quorum,s̃ nominũ,S3232,F2,,,,72v,pauca ,,,,,,,,
207,p452_l31_o10,06v,presertim,ĩ maxime ł ominino,S22,F2,,,,73r,pręsertim ,p452_l31_o10_a,(maxime?),S22,F2,shorthand,,,
208,p453_l02_o06,06v,positionis ,s̃ pͥme persone,S53,F3,,,,73r,positionis ,p453_l02_o06_a,pͥmę ꝑsonę,S53,F3,normal,,,
209,p453_l03_o02,06v,sole,s littere due.,S53,F3,,,,73r,solę ,p453_l03_o02_a,sb̶ .s. & .t.,S53,F2,normal,,,
210,p453_l05_o08,06v,censor,iudex,S22,F2,,,,73r,censor ,p453_l05_o08_a,iudex,S22,F2,normal,,,
211,p453_l04_o11,06v,defensor,ꝓtector,S22,F2,,,,73r,defensor ,p453_l04_o11_a,tutor,S22,F2,normal,,,
212,p453_l04_o12,06v,conusltor,inꝗsitor consiliarius,S22,F3,,,,73r,c̃sultor ,p453_l04_o12_a,++ prudens,S22,F2,normal,,,
213,p453_l09_o07,06v,sudo,labor,S22,F2,,,,73r,Sudo ,p453_l09_o07_a,sudorẽ effundo,S23,F4,normal,,,
214,p453_l10_o09,06v,rubeo,ꝓcolore ,S53,F3,,,,73r,Rubeo ,p453_l10_o09_a,uerecundor,S22,F2,normal,,,
215,p453_l10_o11,06v,marceo,defitio areo tabesco siue macior,S22,F3,,,,73r,Marceo ,p453_l10_o11_a,areo,S22,F2,normal,,,
216,p453_l11_o02,06v,candeo,splendor,S22,F2,,,,73r,candeo ,p453_l11_o02_a,albesco,S22,F2,normal,,,
217,p453_l11_o04,06v,algeo,a frigeo,S54,F3,,,,73r,algeo ,p453_l11_o04_a,frigeo,S22,F2,normal,,,
218,p453_l11_o05,06v,algor,frigus,S22,F2,,,,73r,algor ,p453_l11_o05_a,frigꝰ,S22,F2,normal,,,
219,p453_l12_o03,06v,horreo.,timeo,S22,F2,,,,73r,horreo ,p453_l12_o03_a,abhominor,S22,F2,normal,,,
220,p453_l12_o05,06v,ferueo ,ardeo incendo,S22,F3,,,,73r,ferueo ,p453_l12_o05_a,(ardeo?),S22,F2,shorthand,,,
221,p453_l12_o07,06v,strideo,stride porcoru,S23,F3,,,,73r,strideo ,p453_l12_o07_a,sono,S22,F2,normal,p453_l12_o07_b,S53,F4
222,p453_l14_o02,07r,furor,ipsa iracundia,S22,F3,,,,73r,furor ,p453_l14_o02_a,(ira?insania?),S22,F2,shorthand,p453_l14_o02_b,S63,F3
223,p453_l14_o09,07r,sopio,dormio,S22,F2,,,,73r,sopio ,p453_l14_o09_a,dormio,S22,F2,normal,,,
224,p453_l14_o10,07r,sopor ,ipsa quies sõnii,S22,F3,,,,73r,sõpor ,,,,,,p453_l14_o10_a,S63,F2
225,p453_l14_o03,07r,liquor,defluo,S22,F2,,,,73r,Liquor ,p453_l14_o03_a,fluo,S22,F2,normal,p453_l14_o03_b,S23,F4
226,p453_l17_o02,07r,madeo,umifio,S22,F2,,,,73r,madeo ,p453_l17_o02_a,humidꝰ sũ,S32,F4,normal,,,
227,p453_l17_o06,07r,sordeo,squaleo,S22,F2,,,,73r,Sordeo  ,p453_l17_o06_a,cõmaculo,S22,F2,normal,,,
228,p453_l17_o07,07r,sordidus , tͫpisseđ ,S22,F2,,,,73r,sordidus ,p453_l17_o07_a,ma(culatus)?,S22,F2,shorthand,,,
229,p453_l19_o03,07r,torreo ,arefio uro,S22,F2,,,,73r,Torreo ,p453_l19_o03_a,uro,S22,F2,normal,p453_l19_o03_b,S63,F2
230,p453_l18_o09,07r,stupidus,timidus. siue admirans,S22,F3,,,,73r,stupidus ,p453_l18_o09_a,+,S22,F2,shorthand,,,
231,p453_l19_o07,07r,rapio ,tollo /aufero,S22,F3,,,,73r,Rapio ,p453_l19_o07_a,aufero,S22,F2,normal,,,
232,p453_l19_o08,07r,rapidus,agilis /uelox,S22,F3,,,,73r,rapidus ,p453_l19_o08_a,uelox,S22,F2,normal,,,
233,p453_l20_o02,07r,uiuidus,sagax & agilis,S22,F3,,,,73r,uiuidus ,p453_l20_o02_a,uitalis,S22,F2,normal,p453_l20_o02_b,S63,F3
234,p453_l21_o06,07r,trepidus,r,S611,F1,,,,73r,Trepidus ,,,,,,p453_l21_o06_b,S53,F4
235,p453_l26_o06,07r,mergo,infundo  ⁊  inolino,S22,F3,coruus maritimꝰ dr,S23,F4,73r,Mergo ,,,,,,p453_l26_o06_a,S24,F3
236,p453_l26_o09,07r,cedes,clades ꝑcutio,S22,F3,,,,73r,cędes ,p453_l26_o09_a,+,S22,F2,shorthand,,,
237,p453_l27_o02,07r,struo,congero,S22,F2,,,,73r,struo ,p453_l27_o02_a,ędifico,S22,F2,normal,,,
238,p453_l28_o05,07r,torquis,circulus aureus /a torquendo,S23,F3,,,,73r,torquis ,p453_l28_o05_a,ornam̃tũ colli,S23,F3,normal,,,
239,p453_l29_o04,07r,fatilis , leuis/qͣsi possibilis,S22,F3,,,,73r,facilis ,p453_l29_o04_a,leuis,S22,F2,normal,,,
240,p453_l29_o06,07r,utilis ,uibilis/uelox,S22,F3,,,,73r,utilis ,p453_l29_o06_a,ꝓficuus,S22,F2,normal,,,
241,p453_l29_o07,07r,efutio ,inanesco,S22,F2,,,,73r,Effutio ,p453_l29_o07_a,effundo,S22,F2,normal,,,
242,p453_l29_o08,07r,efutilis,uacuus instabilis,S22,F3,,,,73r,effutilis ,p453_l29_o08_a,uanus instab̶is,S22,F3,normal,p453_l29_o08_b,S63,F3
243,p453_l28_o12,07r,docibilis,ꝗ facile poti doceri,S23,F4,docibilis dr̃ sermo ꝗ facile  discit᷑,S23,F4,73r,docibilis ,p453_l28_o12_a,facile discens,S23,F3,normal,,,
244,p453_l29_o12,07r,occido,ex ob & cado,S25,F3,,,,73r,Occido  ,,,,,,p453_l29_o12_a,S63,F3
245,p453_l29_o02,07r,nubilis ,nubilis dr̃ apta ad,S23,F4,,,,73r,nubilis ,p453_l29_o02_a,puella apta (ad nubendum?),S23,F3,shorthand,p453_l29_o02_b,S63,F2
246,p453_l30_o01,07r,occiduus,occidentalis,S22,F2,,,,73r,occiduus ,p453_l30_o01_a,transitiuus,S22,F2,normal,,,
247,p453_l32_o01,07v,strido,sono,S22,F2,,,,73r,Strido ,p453_l32_o01_a,sono,S22,F2,normal,,,
248,p453_l32_o04,07v,gerulus,portator,S22,F2,,,,73r,gerulus ,p453_l32_o04_a,portitor,S22,F2,normal,,,
249,p453_l32_o06,07v,legulus,assiduus in lectione,S23,F3,,,,73r,legulus ,p453_l32_o06_a,legens,S22,F2,normal,,,
250,p453_l32_o08,07v,murilegulus,captator  mures,S23,F3,,,,73r,murilegulus ,p453_l32_o08_a,÷ cattꝰ siue pilax. ++ sic uocatꝰ eo qđ/mures legit id ÷ furatur,S23,F4,normal,p453_l32_o08_b,S63,F3
251,p453_l33_o04,07v,cernulus,inspector,S22,F2,,,,73r,cernulus ,,,,,,p453_l33_o04_a,S63,F2
252,p453_l33_o08,07v,adoptulus,quasi adoptiuus,S22,F2,,,,73r,adoptulus ,p453_l33_o08_a,adoptiuus,S22,F2,normal,,,
253,p454_l01_o06,07v,uoro ,comedo ,S22,F2,,,,73r,uoro ,,,,,,p454_l01_o06_a,S63,F3
254,p454_l01_o12,07v,contumeo,suꝑb;,S22,F2,,,,73r,contumeo ,p454_l01_o12_a,inflo suꝑbio,S22,F3,normal,,,
255,p454_l02_o01,07v,contumax,arrogans c̃tem̃tor ,S22,F3,,,,73r,c̃tumax ,p454_l02_o01_a,suꝑbus,S22,F2,normal,,,
256,p454_l02_o03,07v,tenax,parcus /auarꝰ ł ꝗcqđ conglutinat,S23,F4,,,,73r,tenax ,p454_l02_o03_a,auarus,S22,F2,normal,,,
257,p454_l03_o01,07v,perspicax,diluciđ manifestꝰ,S22,F3,,,,73r,ꝑspicax ,p454_l03_o01_a,ingeniosus astutꝰ,S22,F3,normal,,,
258,p454_l03_o03,07v,efficax,acius uelox,S22,F3,,,,73r,efficax ,p454_l03_o03_a,efficiens ł potens,S22,F3,normal,,,
259,p454_l03_o04,07v,fallo,,,,,,,73r,fallo ,p454_l03_o04_a,(mentior?),S22,F2,shorthand,,,
260,p454_l03_o09,07v,uiuax,ꝗ diu uiuit,S23,F4,,,,73v,uiuax ,p454_l03_o09_a,uiuidus,S22,F2,normal,,,
261,p454_l03_o10,07v,sagio,p̃sagio / diuino,S22,F3,,,,73v,sagio ,p454_l03_o10_a,+,S22,F2,shorthand,,,
262,p454_l04_o01,07v,sagax,agilis astutus,S22,F3,,,,73v,pręsagio ,p454_l04_o01_a,futura p̃dico,S23,F4,normal,,,
263,p454_l04_o04,07v,salax,ꝗ frequent̃ sallit,S23,F4,,,,73v,salax ,p454_l04_o04_a,uelox,S22,F2,normal,p454_l04_o04_b,S63,F2
264,p454_l05_o07,07v,latex,foris eoqđ latet,S23,F4,,,,73v,latex ,p454_l05_o07_a,fons a latendo (dicitur?),S54,F4,normal,p454_l05_o07_b,S63,F3
265,p454_l05_o09,07v,uertex,sumitas capitis,S22,F3,,,,73v,uertex ,p454_l05_o09_a,su? ++++ capilli,S23,F5,normal,,,
266,p454_l09_o07,07v,uocabulũ,dr̃ nom̃ in corporalis rei seu in/animabus,S23,F4,,,,73v,pateo ,p454_l09_o07_a,aperio,S22,F2,normal,p454_l09_o07_b,S63,F3
267,p454_l12_o03,07v,furibundus,insanꝰ,S22,F2,,,,73v,furibundus ,p454_l12_o03_a,(similis) furenti,S22,F2,normal,,,
268,p454_l17_o05,08r,scriba,legis doctor,S23,F3,,,,73v,scriba ,p454_l17_o05_a,doctus,S22,F2,normal,,,
269,p454_l17_o07,08r,pronuba,mulier ꝗ disponit nuptias,S23,F4,,,,73v,ꝓnuba ,p454_l17_o07_a,ꝗ nubentib p̃est,S23,F3,normal,p454_l17_o07_b,S63,F2
270,p454_l18_o03,08r,aduenio,peregrinꝰ,S22,F2,,,,73v,aduena ,p454_l18_o03_a,peregrinꝰ,S22,F2,normal,,,
271,p454_l18_o07,08r,lenio,blandior,S22,F2,,,,73v,lena ,p454_l18_o07_a,ꝑspectrix scupri,S23,F3,normal,,,
272,p454_l18_o05,08r,conuenio,Adolator / deceptrix,S22,F3,,,,73v,c̃uena ,p454_l18_o05_a,simul/ueniens,S23,F3,shorthand,,,
273,p454_l18_o06,08r,conuena,ꝗ simulcũ aliis conuenit,S23,F4,,,,73v,Lenio ,p454_l18_o06_a,sedo/placo,S22,F3,normal,,,
274,p454_l19_o07,08r,terrigena,ex t̃ra genitus,S54,F3,,,,73v,terrigena ,p454_l19_o07_a,a t̃ra genitus s. gigas,S54,F3,normal,,,
275,p454_l19_o09,08r,conuiua,comescor manduco,S22,F3,,,,73v,c̃uiua ,p454_l19_o09_a,simul uiuens ł uescens,S23,F3,normal,p454_l19_o09_b,S63,F3
276,p454_l20_o08,08r,suadeo,ortor,S22,F2,,,,73v,suadeo ,p454_l20_o08_a,adoror,S22,F2,normal,,,
277,p454_l20_o09,08r,suadela,oratio,S22,F2,,,,73v,suadela ,p454_l20_o09_a,suasie,S22,F2,normal,,,
278,p454_l21_o05,08r,lucina,luna,S22,F2,,,,73v,lucina ,p454_l21_o05_a,++ a parien/tib ++,S23,F4,shorthand,,,
