lemma_id,folio_VLO41,lemma_VLO41,gloss_VLO41,gloss_type_VLO41,gloss_form_VLO41,marginal_note_id_VLO41,marginal_note_type_VLO41,marginal_note_form_VLO41,folio_Bamberg,lemma_Bamberg,gloss_id,gloss_Bamberg,gloss_type_Bamberg,gloss_form_Bamberg,nature,marginal_note_id_Bamberg,marginal_note_type_Bamberg,marginal_note_form_Bamberg,page,folio,lemma,gloss_id_Latin7499,gloss,gloss_type,gloss_form,marginal_note_id,marginal_note_type,marginal_note_form,gloss_Latin14087,gloss_type_Latin14087,gloss_form_Latin14087
p456_l06_o08,09v,altilis,++++ ł saginatus,S22,F3,,,,74r,Altilis ,p456_l06_o08_a,auis ꝗ sanginat᷑,S23,F4,normal,,,,p456,79r,Altilis ,p456_l06_o08_a,auis qͣ saginatur,S23,F4,p456_l06_o08_b,S23,F5,Altilis studiose saginatꝰ,S22,F3
p456_l10_o11,09v,ambages,dubietates,S22,F2,,,,74r,Ambages ,p456_l10_o11_a,circutiones/ãfractus,S22,F3,normal,p456_l10_o11_b,S63,F2,p456,79r,Ambages ,p456_l10_o11_a,concertationes ł c̃flictiones ł dubitationes/circuitiones ł an/fractus,S22,F3,,,,Ambages uerboꝵ circuitꝰ sermonũ ꝑplexitas;,S23,F3
p456_l18_o07,09v,censura,res ad iudicatio,S23,F3,,,,74v,Censura ,p456_l18_o07_a,iudiciũ,S22,F2,normal,p456_l18_o07_b,S63,F2,p456,79r,censura. ,p456_l18_o07_a,iuditiũ iudicatio/ł̃ mensuratio,S22,F3,,,,Censura decus. seueritas. honor iuditia,S22,F2
p457_l18_o02,10v,trutina,libra eꝗ lanx,S23,F3,,,,74v,Trutina ,p457_l18_o02_a,lanx,S22,F2,normal,,,,p457,80r,Trutina ,p457_l18_o02_a,lanx ł m̃sura,S22,F3,,,,Trutina pensa statera mensura,S22,F3
p457_l18_o03,10v,trutino,equo,S22,F2,,,,74v,trutino ,p457_l18_o03_a,pondero,S22,F2,normal,,,,p457,80r,Trutino ,p457_l18_o03_a,ęqualit̃ m̃suro/pondero coęquo,S22,F3,,,,Trutino. pondero ł ꝓpendo,S22,F3
p457_l18_o05,10v,machinor,molior fraudẽ g̃ deponens,S23,F3,,,,74v,Machina ,p457_l18_o05_a,ędificiũ,S222,F2,normal,p457_l18_o05_b,S63,F3,p457,80r,Machina ,p457_l18_o05_a,argum̃tũ/ędificium,S22,F3,p457_l18_o05_b,S22,F3,Machinor molior exquiro. fabrico. paro c̃fitio. Exstruo,S22,F3
p457_l19_o02,10v,nundine,mercata pubica,S23,F3,,,,74v,Nundinę ,p457_l19_o02_a,mercatũ,S22,F2,normal,,,,p457,80r,Nundine ,p457_l19_o02_a,mercatũ ł mercationes ł anonis/semꝑ płtr ꝓ̃nuntiantur,S312,F4,,,,Nundinę loca mercati id ÷ argisteria.,S23,F3
p457_l19_o03,10v,nundinor,mercator,S22,F2,,,,74v,nundinor ,p457_l19_o03_a,merchor,S22,F2,normal,,,,p457,80r,Nundinor ,p457_l19_o03_a,mercor,S22,F2,,,,Nundinor meror . Emo. comparo.,S22,F3
p457_l21_o11,11r,multo,uindico punio,S22,F3,,,,75r,multo ,p457_l21_o11_a,c̃d̃ẽno,S22,F2,normal,p457_l21_o11_b,S63,F2,p457,80r,Multo ,p457_l21_o11_a,dãpno occido/condẽpno,S22,F3,,,,condẽpno uexo. lacero ł iterimo,S22,F3
p457_l22_o05,11r,lixa,ł aqua/mercenarius,S22,F3,,,,75r,Lixa ,p457_l22_o05_a,seruus militũ s. mercenarius,S23,F3,normal,,,,p457,80r,Lixa ,p457_l22_o05_a,seruus militũ/siue mercenarius,S22,F3,p457_l22_o05_b,S23,F5,Lixa aqua lipida,S23,F3
p457_l23_o02,11r,bachor,ł idem stomachorł irascor,S22,F3,,,,75r,bachor ,p457_l23_o02_a,sęuio,S22,F2,normal,,,,p457,80r,Bacchor ,p457_l23_o02_a,insanio seuio inde bacchus/appellat ᷑uinum,S24,F4,,,,Bachor cũ furore discurro . insanio ł seuio,S23,F4
p457_l26_o07,11r,prob;,idoneus strenuus sagax,S22,F3,,,,75r,probus ,p457_l26_o07_a,bonus +,S22,F3,normal,p457_l26_o07_b,S63,F2,p457,80r,ꝓbus ,p457_l26_o07_a,bonus ęquus/ꝑfectus,S22,F3,,,,ꝓbus. benemoratꝰ. honestus. Festiuus decens . grauis ,S22,F3
p457_l30_o06,11r,serenus,tranquillus,S22,F2,,,,75r,Serenꝰ ,p457_l30_o06_a,tranquillus ł mitis,S22,F3,normal,,,,p457,80r,Serenus ,p457_l30_o06_a,humilis tranquillus/mitis,S22,F3,,,,Serenus. purus. tranquillus . placidus.,S22,F3
p457_l34_o05,11r,apto,c̃iungo assotio,S22,F3,,,,75r,Apto ,p457_l34_o05_a,accõmodo,S22,F2,normal,,,,p457,80r,Apto ,p457_l34_o05_a,Accõmođ ł dignor,S22,F3,,,,Apto. c̃iungo ł sotio,S22,F2
p457_l34_o08,11r,sollicito,curã ago,S23,F4,,,,75r,Solllicito ,p457_l34_o08_a,curo,S22,F2,normal,,,,p457,80r,Sollicito ,p457_l34_o08_a,curo assiduo,S22,F3,,,,Sollicito. inquięto. molesto. ,S22,F3
p457_l35_o09,11r,uiduus,quasi diuisus/a muliere,S23,F3,,,,75r,Viduus ,p457_l35_o09_a,desertus,S22,F2,normal,p457_l35_o09_b,S63,F2,p457,80r,Viduus ,p457_l35_o09_a,derertꝰ,S22,F2,,,,uiduus. alienus. sterilis. Diuisus separatus,S22,F3
p458_l02_o10,11r,stimulo,pungo,S22,F2,,,,75r,Stimulo ,p458_l02_o10_a,incito,S22,F2,normal,,,,p458,80r,Stimulo ,p458_l02_o10_a,pungo incito,S22,F3,,,,Stimulo urgeo  fimo. Sordeo,S22,F3
p458_l03_o06,11r,terminus,finis meta,S22,F3,,,,75r,T̃minꝰ ,p458_l03_o06_a,finis,S22,F2,normal,,,,p458,80r,Terminꝰ ,p458_l03_o06_a,finis meta,S22,F3,,,,M&a finis ,S22,F2
p458_l03_o10,11r,perenno,toto anno inopere persisto,S23,F4,,,,75r,ꝑenno ,p458_l03_o10_a,ꝓtelo,S22,F2,normal,p458_l03_o10_b,S63,F2,p458,80v,ꝑenno ,p458_l03_o10_a,ꝑmaneo p unũ annũ ł moror/ꝑ annos/ꝓtelo,S23,F4,,,,ꝑenno. ꝑannos ago,S25,F3
p458_l05_o07,11r,stomachor,irascor /ł  insanio,S22,F3,,,,75r,Stomachor ,p458_l05_o07_a,irascor,S22,F2,normal,p458_l05_o07_b,S63,F2,p458,80v,Stomachor ,p458_l05_o07_a, maxime in stomacho/fit ira ł letitia/os uentris/irascor,S23,F4,,,,Stomachor . lacero . lrascor.,S22,F3
p458_l06_o06,11r,libũ,sacrificͥũ,S22,F2,,,,75r,Libũ ,p458_l06_o06_a,libam̃/p̃gustatio,S22,F3,normal,p458_l06_o06_b,S4181,F4,p458,80v,Libũ ,p458_l06_o06_a,sacrificiũ p̃gusto,S22,F3,p458_l06_o06_b,S4181,F5,Libũ .genus dulciam̃ti ł libam̃tũ ,S222,F3
p458_l07_o06,11v,peculiũ,pro onum substantia ponitur,S23,F4,,,,75r,Peculiũ ,p458_l07_o06_a,possessio ++,S22,F3,shorthand,p458_l07_o06_b,S63,F2,p458,80v,Peculiũ ,p458_l07_o06_a,ꝓpͥa possessio,S23,F3,p458_l07_o06_b,S23,F4,peculiũ pecunia,S22,F2
p458_l07_o07,11v,peculior,peculiã aufero,S23,F4,,,,75r,depeculor ,p458_l07_o07_a,deuasto,S22,F2,normal,,,,p458,80v,depeculior ,p458_l07_o07_a,aufero diuitias tuas a te/deuasto,S23,F4,,,,Depeculior depopulor conpilo. Exhaurio  e uesto,S22,F3
p458_l11_o11,11v,peragro,incedo,S22,F2,,,,75r,ꝑagro ,p458_l11_o11_a,ꝑlustro,S22,F2,normal,,,,p458,80v,ꝑagro ,p458_l11_o11_a,ꝑagro suado/seu ꝑlustro,S22,F3,,,, ꝑagror circũeo ꝑãbo ꝑtranseo.giro. uagor,S22,F3
p458_l17_o07,11v,contionor,multitudini alloquor,S23,F3,,,,75r,Ctionor ,p458_l17_o07_a,c̃tionẽ alloquor,S23,F4,normal,p458_l17_o07_b,S63,F2,p458,80v,contionor ,p458_l17_o07_a,contionem/alloquor/eloquent̃ loquor/in foro ł in  placito ser es catalogꝰ,S23,F4,,,,Contionor . alloquor,S22,F2
p458_l21_o06,11v,ubero, abundo,S22,F2,,,,75r,exubero ,p458_l21_o06_a,abundo,S22,F2,normal,,,,p458,80v,Exubero ,p458_l21_o06_a,habundo,S22,F2,,,,Exuberor abundo,S22,F2
p458_l21_o09,11v,agero, c̃grego,S22,F2,,,,75r,aggero ,p458_l21_o09_a,accumulo,S22,F2,normal,,,,p458,80v,Aggero ,p458_l21_o09_a,c̃grego accumulo,S22,F3,,,,Aggeror. comulo. congrego,S22,F3
p458_l25_o06,11v,nugas,uanꝰ / ł inutilis /recedens a lege,S23,F3,,,,75r,nugas ,p458_l25_o06_a,turpis,S22,F2,normal,p458_l25_o06_b,S63,F2,p458,80v,Nugas ,p458_l25_o06_a,uanꝰ mał t᷑pis piger,S22,F3,,,,Nugas turpes. uanos. inutiles. uanos maculosos.,S22,F3
p458_l25_o08,11v,nugor,efecero desitio de(cur)so,S22,F3,,,,75r,nugor ,,,,,,p458_l25_o08_a,S63,F2,p458,80v,Nur̶gor ,p458_l25_o08_a,uilesco det᷑por,S22,F3,,,,Nugor t᷑pit̃ ago,S23,F3
p458_l26_o01,11v,uas ,fideiussor,S22,F2,,,,75r,Vas ,p458_l26_o01_a,(qđ rustice dr̃) uuatges,S21,F4,normal,,,,p458,80v,Vas ,p458_l26_o01_a,qđ rustice dr̃/uuatges dicr̃ aut̃/uades coqđ illis datis,S21,F4,p458_l26_o01_b,S23,F5,uas. uadis pignus ł uadimoniũ,S22,F3
p458_l26_o07,11v,aries,aliquantã machinã,S222,F3,,,,75r,aries ,p458_l26_o07_a,+,S23,F4,shorthand,,,,p458,80v,Aries ,p458_l26_o07_a,princeps/gregis,S23,F3,p458_l26_o07_b,S23,F3,Aries machina,S222,F2
p458_l27_o02,11v,comitor,simul /tecũ ꝑergo,S23,F3,,,,75r,comitor ,p458_l27_o02_a,subsequor,S22,F2,normal,,,,p458,80v,comitor ,p458_l27_o02_a,tecũ uado ł subsequor,S23,F4,,,,Comito. comeseo. ꝓsequor,S22,F3
p458_l27_o05,11v,sedo,pacifico,S22,F2,,,,75r,sedo ,p458_l27_o05_a,mitigo/placo,S22,F3,normal,p458_l27_o05_b,S63,F2,p458,80v,Sedo ,p458_l27_o05_a,mitigo placo/sereno fecundo,S22,F3,,,,Sedo. Mollio placo. Mitigo // Sedo. pacifico. mitigo. ,S22,F3
p458_l29_o09,12r,testor,confirmo,S22,F2,,,,75r,detestor ,p458_l29_o09_a,abominor,S22,F2,normal,,,,p458,81r,testor ,p458_l29_o09_a,iuro inde detestor ÷ ab hominor,S54,F3,,,, Detestor abominor,S22,F2
p459_l03_o05,12r,lego ,dispono astruo c̃firmo,S22,F3,,,,75v,lego ,p459_l03_o05_a,legẽ facio +++,S23,F4,shorthand,p459_l03_o05_b,S63,F2,p459,81r,Lego  ,p459_l03_o05_a,leges cõpono/ł legationẽ mitto,S23,F4,,,, lego legas. tes,S24,F3
p459_l07_o07,12r,aestuo,ebullio ł tardeo,S22,F3,,,,75v,ęstuo ,p459_l07_o07_a,caleo,S22,F2,normal,,,,p459,81r,ęstuo ,p459_l07_o07_a,ardeo caleo/ferueo,S22,F3,,,,ab estus. eftuo,S54,F3
p459_l13_o05,12r,nutus,potestas,S22,F2,,,,75v,Notus ,p459_l13_o05_a,notam̃,S22,F2,normal,,,,p459,81r,Notus. ,p459_l13_o05_a,Notio ⁊ Notam̃,S22,F3,,,,Notꝰ a nosco,S54,F3
p459_l13_o03,12r,nisus,conamen,S22,F2,,,,75v,nisus ,p459_l13_o03_a,conam̃,S22,F2,normal,p459_l13_o03_b,S63,F3,p459,81r,nisus ,p459_l13_o03_a,audeo A nitor Conam̃ conatio,S22,F3,,,,Nisus conam̃ cestam̃,S22,F3
p461_l17_o06,14r,ingurgito,in mergo,S22,F3,,,,76v,ingurgito ,,,,,,p461_l17_o06_a,S63,F2,p461,82v,ingurgito ,p461_l17_o06_a,deglutino absorbeo,S22,F3,,,,Ingurgito. p̃cipitẽdo,S22,F2
p461_l19_o07,14r,procrastino,ꝓduco in cras,S54,F4,,,,76v,ꝓcrastino ,p461_l19_o07_a,ꝓtelo ꝓlongo,S22,F3,normal,p461_l19_o07_b,S63,F2,p461,82v,ꝓcrastino ,p461_l19_o07_a,ꝓtelo ꝓlongo ꝑendino differo aliꝗd,S23,F4,,,,ꝑendie.  ꝓ̃cras. uel p̃tertium diem ł antediem.,S23,F3
p461_l20_o02,14r,conperendino,ꝑmaneο ł tardo.,S22,F3,,,,76v,Comꝑendino ,p461_l20_o02_a,s. ꝓlongo,S22,F2,normal,p461_l20_o02_b,S63,F2,p461,82v,coꝑendino ,p461_l20_o02_a,÷ ꝓlongo differo in aliũ diem in longũ mitto,S23,F4,,,,cõꝑendino. in t̃tiũ diẽ ꝓtraho ł differo,S23,F4
p462_l06_o07,14v,uello,rũpo,S22,F2,,,,76v,uello ,p462_l06_o07_a,carpo,S22,F2,normal,,,,p462,83r,uello ,p462_l06_o07_a,decio destruo carpo eradico,S22,F3,,,,Vello moueo,S22,F2
p463_l08_o06,16r,bulla,,,,bulla dr̃ q: sit a uento/ł ornam̃tũ cingulorum,S23,F4,77r,Bulla ,p463_l08_o06_a,uesiculę camelorũ,S23,F3,normal,p463_l08_o06_b,S63,F2,p463,83r,bulla ,p463_l08_o06_a,ornam̃tũ camelorũ si/ue uesicule in aqua,S23,F4,,,,Bulla inflatio auqarũ ł ornam̃ in similitudine inflatioñ spumę aquarũ,S23,F4
p463_l09_o08,16r,largior,tribuo,S22,F2,,,,77r,largior ,p463_l09_o08_a,tribuo,S22,F2,normal,,,,p463,83r,largio ,p463_l09_o08_a,tribuo,S22,F2,,,,Largior g{r}atiã p̃sto,S23,F4
p463_l25_o02,16v,meta,limes,S22,F2,,,,77v,m&a ,p463_l25_o02_a,finis,S22,F2,normal,p463_l25_o02_b,S63,F3,p463,83v,meta ,p463_l25_o02_a,finis t̃minus,S22,F3,,,,M&a finis,S22,F2
p463_l25_o03,16v,metor,t̃mino finio,S22,F3,,,,77v,M&or ,p463_l25_o03_a,figo,S22,F2,normal,,,,p463,83v,Metor ,p463_l25_o03_a,figo t̃mino,S22,F3,,,,termino finio,S22,F2
p463_l25_o09,16v,metior,mensuro,S22,F2,,,,77v,M&ior ,p463_l25_o09_a,m̃suro,S22,F2,normal,,,,p463,83v,metior ,p463_l25_o09_a,÷ mensuro,S22,F2,,,,M&ior constituo castra designo,S23,F4
p465_l25_o11,18r,polliceor,ꝓmitto,S22,F2,,,,78r,polliceor ,p465_l25_o11_a,spondeo,S22,F2,normal,,,,p465,84r,Polliceor ,p465_l25_o11_a,ꝓmitto spondeo,S22,F3,,,,ꝓmitto polliceor. ,S22,F2
p465_l28_o07,18r,amitior,tego,S22,F2,,,,78r,Amicior ,p465_l28_o07_a,circũdo,S22,F2,normal,p465_l28_o07_b,S63,F2,p465,84r,amitior ,p465_l28_o07_a,circũdo induco Ab amicus ł amictus,S54,F3,,,,Amicior . Vestio circũdo induo togo,S22,F3
p466_l05_o04,18v,uador,error,S22,F2,,,,78v,Vador ,p466_l05_o04_a,a uado,S54,F3,normal,p466_l05_o04_b,S63,F2,p466,84v,uador ,p466_l05_o04_a,a uado,S54,F3,,,,Vador. ꝓmitto. causã ago. fidẽ fatio,S23,F4
p466_l21_o09,19r,paciscor,pactũ facio,S23,F4,,,,78v,Paciscor ,p466_l21_o09_a,pacẽ facio,S23,F4,normal,,,,p466,84v,pacisor ,p466_l21_o09_a,pacẽ fatio,S23,F4,,,,Pasciscor pacẽ redintegror,S23,F4
p466_l22_o02,19r,adipiscor,inueniscor,S22,F2,,,,78v,adipiscor ,p466_l22_o02_a,consequor,S22,F2,normal,,,,p466,84v,Adipiscor; ,p466_l22_o02_a,consequor inuenio,S22,F3,,,,Adipiscor conor / Nasiciscor Adipiscor Assequor,S22,F3
