lemma_id,folio_VLO41,lemma_VLO41,gloss_VLO41,gloss_type_VLO41,gloss_form_VLO41,marginal_note_id_VLO41,marginal_note_type_VLO41,marginal_note_form_VLO41,folio_Bamberg,lemma_Bamberg,gloss_id,gloss_Bamberg,gloss_type_Bamberg,gloss_form_Bamberg,nature,marginal_note_id_Bamberg,marginal_note_type_Bamberg,marginal_note_form_Bamberg,page,folio,lemma,gloss_id_Latin7499,gloss,gloss_type,gloss_form,marginal_note_id,marginal_note_type,marginal_note_form
p450_l05_o08,04r,fluo ,dercurro,S22,F2,,,,71v,fluo ,p450_l05_o08_a,mano,S22,F2,normal,,,,p450,74v,Fluo ,p450_l05_o08_a,decurro/mano,S22,F3,,,
p450_l05_o09,04r,polluo,sordo ł sordeo,S22,F3,,,,71v,polluo ,p450_l05_o09_a,c̃taminor,S22,F2,normal,,,,p450,74v,Polluo ,p450_l05_o09_a,contamino : coinqͥno,S22,F3,,,
p450_l05_o11,04r,alluo,perfu(ndo),S22,F2,,,,71v,alluo ,p450_l05_o11_a,inundo,S22,F2,normal,,,,p450,74v,Alluo ,p450_l05_o11_a,mundo,S22,F2,,,
p450_l06_o01,04r,innuo ,Signũ facio,S23,F3,,,,71v,innuo ,p450_l06_o01_a,nũtũ facio,S23,F4,normal,,,,p450,74v,Innuo ,p450_l06_o01_a,ł nutũ facio/signo,S23,F3,,,
p450_l06_o04,04r,ruo,cado,S22,F2,,,,71v,ruo ,p450_l06_o04_a,cado,S22,F2,normal,,,,p450,74v,Ruo ,p450_l06_o04_a,cado,S22,F2,,,
p450_l06_o06,04r,metuo ,timeo,S22,F2,,,,71v,m&uo ,p450_l06_o06_a,timeo,S22,F2,normal,,,,p450,74v,Metuo ,p450_l06_o06_a,ma?,S22,F2,,,
p450_l06_o07,04r,fatuo ,desinio,S22,F2,,,,71v,fatuo ,p450_l06_o07_a,hębeo,S22,F2,normal,,,,p450,74v,Fatuo ,p450_l06_o07_a,hebeo tardo,S22,F3,p450_l06_o07_b,S5,F5
p450_l06_o09,04r,liquor,soluor/ fluor,S22,F3,,,,71v,liquor ,p450_l06_o09_a,-,S11,F1,normal,,,,p450,74v,Liquor ,,,,,p450_l06_o09_a,S5,F5
p450_l09_o02,04r,continuo,c̃iungo,S22,F2,,,,71v,c̃tinuo ,p450_l09_o02_a,ꝓtelo +? CONIUNC ͭ ͧ ͫ ? QUAE COEP ͥ ͭ ͧ ͬ FAC ͭ ͧ ͫ ?,S23,F4,normal,,,,p450,74v, Continuo ,p450_l09_o02_a,ꝓtelo/ł continuatĩ q̃ cepi fatio,S23,F4,,,
p450_l09_o03,04r,fluctuo ,uacillo,S22,F2,,,,71v,fluctuo ,p450_l09_o03_a,titubo,S22,F2,normal,,,,p450,74v,Fluctuo ,p450_l09_o03_a,dubito ł titubo,S22,F3,,,
p450_l13_o02,04r,illa ,s̃  uerba,S3232,F2,,,,72r,primę ,p450_l13_o02_a,CONIUGA ͭ ͥ ͦ ᷠ ͥ ᷤ,S53,F3,shorthand,p450_l13_o02_b,S53,F4,p450,74v,primę ,p450_l13_o02_a,coniugatioñ,S53,F2,,,
p450_l13_o05,04r,adherentia,s̃ copulata & coïunta uidelicet ꝑ diriuatione,S23,F3,,,,72r,adherentia ,p450_l13_o05_a,seruientia,S22,F2,normal,,,,p450,74v,adhęrentia ,p450_l13_o05_a,quę nõib; adhęrent/seruientia .s. illa uerba adhęrent nõib qͣ hñt/similia nõa sibi a qͥb; diriuant᷑,S53,F4,p450_l13_o05_b,S53,F5
p450_l16_o06,04r,curia,domꝰ,S22,F2,,,,72r,curia ,p450_l16_o06_a,locꝰ ÷ ubi curã antiꝗ exercebant,S23,F4,normal,,,,p450,74v,Curia. ,,,,,p450_l16_o06_b,S63,F3
p450_l19_o03,04r,defolio,detrao,S22,F2,,,,72r,defolio ,p450_l19_o03_a,folia carpo,S23,F4,normal,,,,p450,74v,defolio ,p450_l19_o03_a,folia carpo,S23,F3,,,
p450_l20_o04,04r,delinio,lineã destro ł unguo,S22,F3,,,,72r,delinio ,p450_l20_o04_a,blandior,S22,F2,normal,,,,p450,74v,Delinio ,p450_l20_o04_a,blandior,S22,F2,,,
p450_l20_o06,04r,auxilium,adiutoriũ [adiuta]?,S22,F3,,,,72r,auxiliũ ,p450_l20_o06_a,adium̃tũ,S22,F2,normal,,,,p450,74v,Auxiliũ ,p450_l20_o06_a,adium̃tũ,S22,F2,,,
p450_l24_o04,04v,appositũ,e associatũ,S22,F2,,,,72r,appositũ ,p450_l24_o04_a,adsociatũ,S22,F2,normal,,,,p450,74v,appositũ ,p450_l24_o04_a,associatũ,S22,F2,,,
p450_l25_o08,04v,hio,aperio,S22,F2,,,,72r,hio ,p450_l25_o08_a,spiro,S22,F2,normal,,,,p450,74v,Hio ,p450_l25_o08_a,os aperio ł spiro,S23,F3,,,
p450_l26_o01,04v,pio,purgo/mundo,S22,F3,,,,72r,pio ,p450_l26_o01_a,mundo,S22,F2,normal,,,,p450,74v,pio ,p450_l26_o01_a,mundo,S22,F2,,,
p450_l27_o02,04v,amplio ,dilato,S22,F2,,,,72r,Amplio ,p450_l27_o02_a,amplifico,S22,F2,normal,p450_l27_o02_b,S54,F3,p450,74v,Amplio ,p450_l27_o02_a,ãplifico accumulo/ł congrego,S22,F3,p450_l27_o02_b,S53,F5
p451_l02_o05-06,04v,per apocopã ,ꝑ ablacionẽ  ,S22,F3,,,,72r,ꝑ apocopã ,p451_l02_o05-06_a,ꝑ abscisione litterę,S22,F3,normal,,,,p451,75r,ꝑ apocopam ,p451_l02_o05-06_a,ꝑ abscisionẽ ultimę litterę,S53,F3,,,
p451_l04_o10,04v,priuatũ,aliena,S22,F2,,,,72r,priuatũ ,p451_l04_o10_a,alienatũ ł fraudatũ,S22,F3,normal,,,,p451,75r,priuatũ ,p451_l04_o10_a,fraudatũ/separatum/alienatũ,S22,F3,,,
p451_l08_o04,04v,ambio,circumeo/cupio,S22,F3,,,,72r,Ambio ,p451_l08_o04_a,c̃cumeo,S22,F2,normal,,,,p451,75r,Ambio ,p451_l08_o04_a,ab am et eo/÷ circumeo/ł concupisco,S25,F3,,,
p451_l08_o08,04v,sancio,iudico,S22,F2,,,,72r,sancio ,p451_l08_o08_a,iudico diffinio,S22,F3,normal,,,,p451,75r,Sanctio ,p451_l08_o08_a,definio,S22,F2,p451_l08_o08_b,S5,F5
p451_l09_o02,04v,fartio,im pleo {expleo? ex far++ ?},S23,F4,,,,72r,farcio ,p451_l09_o02_a,repleo,S22,F2,normal,,,,p451,75r,Fartio ,p451_l09_o02_a,repleo ÷ ꝓfli?o,S22,F3,,,
p451_l09_o03,04v,expedio,quasi impeditũ,S22,F2,,,,72r,expedio ,p451_l09_o03_a,absoluo,S22,F2,normal,,,,p451,75r,Expedio ,p451_l09_o03_a,expedio ex ex ⁊ pes/÷ absoluo ł conuenio/qͣsi ex pede,S25,F3,,,
p451_l09_o08,04v,erudio,doceo,S22,F2,,,,72r,erudio ,p451_l09_o08_a,doceo,S22,F2,normal,,,,p451,75r,Erudio ,p451_l09_o08_a,doceo,S22,F2,p451_l09_o08_b,S54,F4
p451_l10_o01,04v,uagio,ploro,S22,F2,,,,72r,uagio ,p451_l10_o01_a,+++ ͤ? INFAN ͭ ͧ ͫ EST uagire,S23,F4,normal,,,,p451,75r,Vagio ,p451_l10_o01_a,plango ł ploro/ꝓprie uagire/inanio,S22,F3,,,
p451_l10_o02,04v,p̃sagio,futura prędico,S23,F3,,,,72r,pręsagio ,p451_l10_o02_a,futura p̃dico,S23,F4,normal,,,,p451,75r,Presagio ,p451_l10_o02_a,futura p̃dico,S23,F3,p451_l10_o02_b,S5,F5
p451_l10_o05,04v,stabilio ,constituo/c̃firmo,S22,F3,,,,72r,stabilio ,p451_l10_o05_a,c̃firmo,S22,F2,normal,,,,p451,75r,Stabilio ,p451_l10_o05_a,c̃firmo,S22,F2,,,
p451_l10_o09,04v,redimio,decoro cõpono orno,S22,F3,,,,72r,redimio ,p451_l10_o09_a,corono ł como,S22,F3,normal,,,,p451,75r,Redimio ,p451_l10_o09_a,orno corono como edifico/ et inde redimicula ÷ or/namenta,S24,F4,,,
p451_l10_o10,04v,exinanio,exuacuo,S22,F2,,,,72r,exinanio ,p451_l10_o10_a,euacuo,S22,F2,normal,,,,p451,75r,Exinanio ,p451_l10_o10_a,euacuo dem̃tior,S22,F3,,,
p451_l11_o04,04v,insignio,orno/redimio,S22,F3,,,,72r,insignio ,p451_l11_o04_a,nobilito,S22,F2,normal,,,,p451,75r,Insignio ,p451_l11_o04_a,nobilio,S22,F2,p451_l11_o04_b,S5,F5
p451_l11_o09,05r,Grunnio,murmuro,S22,F2,,,,72r,munio ,p451_l11_o09_a,defendo,S22,F2,normal,,,,p451,75r,Munio ,p451_l11_o09_a,firmo/defendo,S22,F3,,,
p451_l11_o10,05r,munio,defendo,S22,F2,,,,72r,punio ,p451_l11_o10_a,dãno ł ulciscor,S22,F3,normal,,,,p451,75r,Punio ,p451_l11_o10_a,dãpno/ł ulciscor,S22,F3,p451_l11_o10_b,S54,F4
p451_l12_o01,05r,Sepio,circũdo,S22,F2,,,,72r,sępio ,p451_l12_o01_a,circũdo,S22,F2,normal,,,,p451,75r,Sepio ,p451_l12_o01_a,cirũdo,S22,F2,,,
p451_l12_o02,05r,Sopio,dormio,S22,F2,,,,72r,sopio ,p451_l12_o02_a,dormio,S22,F2,normal,,,,p451,75r,sopio ,p451_l12_o02_a,dormio /Vnde sopinus et sopor qđ fuit a p̃ paganos defectiuũ/fit,S5,F4,,,
p451_l12_o03,05r,Ferio,ꝑcucio,S22,F2,,,,72r,ferio ,p451_l12_o03_a,ꝑcutio,S22,F2,normal,,,,p451,75r,Ferio ,p451_l12_o03_a,ꝑcutio,S22,F2,,,
p451_l12_o06,05r,Garrio,murmuro,S22,F2,,,,72r,garrio ,p451_l12_o06_a,garrire auiũ ÷ PROPRI ͤ,S23,F3,normal,,,,p451,75r,Garrio ,p451_l12_o06_a,murmuro et inepte loquor et importo / auiũ ÷ ꝓpͥe garrire,S22,F4,p451_l12_o06_b,S23,F4
p451_l12_o07,05r,Ligurrio,lango ł gusto.,S22,F3,,,,72r,ligurrio ,p451_l12_o07_a,lingo,S22,F2,normal,,,,p451,75r,Ligurio ,p451_l12_o07_a,lingue gusto/lingo,S22,F3,,,
p451_l13_o01,05r,Prurio,saniem emitte iđ scabiem,S23,F4,,,,72r,prurio ,p451_l13_o01_a,scabeo,S22,F2,normal,,,,p451,75r,Prurio ,p451_l13_o01_a,uerbũ leꝓsi ÷ scabeo,S23,F3,,,
p451_l13_o04,05r,Inretio,inligo,S22,F2,,,,72r,irretio ,p451_l13_o04_a,inlaqueo,S22,F2,normal,,,,p451,75r,Irretio ,p451_l13_o04_a,illaq̃o/retineo,S22,F2,,,
p451_l21_o06,05r,elitio,expͥmo /seduco,S22,F3,,,,72r,elicio ,p451_l21_o06_a,extorqueo ł exprimo,S22,F3,normal,,,,p451,75r,Elicio ,p451_l21_o06_a,extorq̃o ł expͥmo/ꝓuoco illicib;,S22,F3,,,
p451_l21_o08,05r,pellitio,in fraudũ duco.,S23,F3,,,,72r,pellicio ,p451_l21_o08_a,decipio,S22,F2,normal,p451_l21_o08_b,S24,F4,p451,75r,Pelltio ,p451_l21_o08_a,decipio,S22,F2,,,
p451_l21_o09,05r,interfitio,occido,S22,F2,,,,72r,int̃ficio ,p451_l21_o09_a,int̃imo occido,S22,F3,normal,p451_l21_o09_b,S22,F2,p451,75r,Int̃fitio ,p451_l21_o09_a,occido/int̃imo,S22,F3,,,
p451_l21_o10,05r,offitio,noceo,S22,F2,,,,72r,officio ,p451_l21_o10_a,noceo,S22,F2,normal,,,,p451,75r,Offitio ,p451_l21_o10_a,offendo/ł noceo,S22,F3,,,
p451_l22_o04,05r,orior,nascor,S22,F2,,,,72r,orior ,p451_l22_o04_a,nascor,S22,F2,normal,,,,p451,75v,Orior ,p451_l22_o04_a,nascor,S22,F2,,,
p451_l23_o05,05r,potior,utor,S22,F2,,,,72r,potior ,p451_l23_o05_a,fruor,S22,F2,normal,,,,p451,75v,potior ,p451_l23_o05_a,possideo,S22,F2,,,
p451_l33_o03,05v,disserere,manifestare,S22,F2,,,,72v,disserere ,p451_l33_o03_a,exponere,S22,F2,normal,,,,p451,75v,disserere ,p451_l33_o03_a,exponere,S22,F2,,,
p451_l34_o05,05v,ubertati,copie,S22,F2,,,,72v,ubertati ,p451_l34_o05_a,abundantię,S22,F2,normal,,,,p451,75v,ubertati ,p451_l34_o05_a,abundantię,S22,F2,,,
p451_l35_o08,05v,multa,S̃ uerba,S53,F2,,,,72v,multa ,p451_l35_o08_,sb̶ uerba,S3232,F2,normal,,,,p451,75v,multa ,p451_l35_o08_a,.s. uerba,S3232,F2,,,
p451_l36_o05,05v,genuit,S̃ uerba,S53,F2,,,,72v,genuit ,p451_l36_o05_a,sb̶ natura,S415,F2,normal,,,,p451,75v,genuit ,p451_l36_o05_a,.s. natura/ꝓcreauit,S22,F3,,,
p452_l02_o04,05v,motu ,ĩ modo,S22,F2,,,,72v,motu ,p452_l02_o04_a,.i. modo,S22,F2,normal,,,,p452,75v,motu ,p452_l02_o04_a,modo,S22,F2,,,
p452_l02_o07,05v,eas,terminationes,S3232,F2,,,,72v,eas ,p452_l02_o07_a,sb̶ t̃mina/tiones,S3232,F2,normal,,,,p452,75v,eas ,p452_l02_o07_a,.s. terminationes,S3232,F2,,,
p452_l03_o06,05v,quas ,s ipsa natura,S3232,F3,,,,72v,quas ,p452_l03_o06_a,SUBAUD ͥ ͭ ͧ ͬ t̃minationes,S4224,F3,normal,,,,p452,75v,Quas ,p452_l03_o06_a,t̃minationes,S3232,F2,,,
p452_l04_o03,05v,adherentia ,ĩ coherentia,S22,F2,,,,72v,adhęrentia ,p452_l04_o03_a,SERU ͣ ᷠ ͭ ͥ ͣ,S22,F2,shorthand,,,,p452,75v,adhęrentia ,p452_l04_o03_a,seruientia,S22,F2,,,
p452_l05_o01,05v,origines,principia exordia,S22,F3,,,,72v,origines ,p452_l05_o01_a,INITI ͣ EXORDI ͣ,S22,F3,shorthand,,,,p452,75v,origines ,p452_l05_o01_a,initia ł pͥmor/dia,S22,F3,,,
p452_l08_o08,05v,distinctę;,diuise separate,S22,F3,,,,72v,distinctę ,p452_l08_o08_a,discretę,S22,F2,normal,,,,p452,75v,destinatę. ,p452_l08_o08_a,disciretę/ordinatę,S22,F3,,,
p452_l13_o08,06r,positionis ,s uerbi,S412,F2,,,,72v,positionis ,p452_l13_o08_a,primę ꝑsonę indicatiui MOD ͥ,S53,F3,normal,,,,p452,76r,positionis ,p452_l13_o08_a,÷ primę ꝑsonę indicatiui modi,S53,F3,p452_l13_o08_b,S631,F5
p452_l15_o08,06r,litigo,rexo,S22,F2,,,,72v,litigo ,p452_l15_o08_a,altercor,S22,F2,normal,,,,p452,76r,Litigo ,p452_l15_o08_a,altercor,S22,F2,p452_l15_o08_b,S5,F5
p452_l15_o09,06r,litigium,iurgium,S22,F2,,,,72v,litigium ,p452_l15_o09_a,rixa,S22,F2,normal,,,,p452,76r,Litigiũ ,p452_l15_o09_a,Rixa,S22,F2,,,
p452_l15_o11,06r,commertium,mercimoniũ,S22,F2,,,,72v,cõmertiũ ,p452_l15_o11_a,lucrũ,S22,F2,normal,,,,p452,76r,Cõmertium ,p452_l15_o11_a,mercatio lucrũ,S22,F3,,,
p452_l16_o01,06r,obsono ,contradico,S22,F2,,,,72v,obsono ,p452_l16_o01_a,c̃trasono,S22,F2,normal,,,,p452,76r,Obsono ,p452_l16_o01_a,ct̃ sono ł conunio,S22,F3,p452_l16_o01_b,S5,F4
p452_l16_o02,06r,obsonium,contradictio ł detractio,S22,F3,,,,72v,obsoniũ ,p452_l16_o02_a,CONUIU ͦ uenale,S23,F3,normal,,,,p452,76r,Obsonũ ,p452_l16_o02_a,uenale,S22,F2,p452_l16_o02_b,S23,F3
p452_l16_o05,06r,edifico,ędẽ fatio/c̃seruo,S23,F3,,,,72v,ędifico ,p452_l16_o05_a,c̃struo,S22,F2,normal,p452_l16_o05_b,S63,F3,p452,76r,Aedifico ,p452_l16_o05_a,construo,S22,F2,,,
p452_l17_o01,06r,sacrificium,sacrũ factũ,S25,F3,,,,72v,sacrificium ,p452_l17_o01_a,oblatio,S22,F2,normal,,,,p452,76r,Sacrifitium ,p452_l17_o01_a,oblatio,S22,F2,,,
p452_l17_o04,06r,mancipo,,,,,,,72v,mancipo ,p452_l17_o04_a,subdo,S22,F2,normal,,,,p452,76r,Mancipo ,p452_l17_o04_a,subdo/manu capio,S22,F3,,,
p452_l17_o06,06r,inpero,precipio,S22,F2,,,,72v,impero ,p452_l17_o06_a,regno,S22,F2,normal,,,,p452,76r,Impero ,p452_l17_o06_a,regno precipio,S22,F3,,,
p452_l17_o07,06r,inperium,p̃ceptũ,S22,F2,,,,72v,imperiũ ,p452_l17_o07_a,POTESTAS REGN ͧ ͫ,S23,F3,shorthand,p452_l17_o07_b,S63,F3,p452,76r,Imperium ,p452_l17_o07_a,regnũ potestas,S22,F3,,,
p452_l18_o05,06r,gaudeo,letor,S22,F2,,,,72v,gaudeo ,p452_l18_o05_a,gratulor,S22,F2,normal,,,,p452,76r,Gaudeo ,p452_l18_o05_a,congratulor,S22,F2,,,
p452_l18_o07,06r,presideo,auxilio,S22,F2,,,,72v,pręsideo ,p452_l18_o07_a,p̃sum,S22,F2,normal,,,,p452,76r,Pręsideo ,p452_l18_o07_a,antesedeo/seu pręsum,S22,F3,,,
p452_l19_o03,06r,remedium,medela,S22,F2,adiutorium,S22,F2,72v,Remediũ ,p452_l19_o03_a,Su ̶ ?  ͭ ͥ ͣ(sanitas?),S22,F2,shorthand,,,,p452,76r,Remediũ ,p452_l19_o03_a,sanitas medicina,S22,F3,,,
p452_l19_o05,06r,conubium,copulatio uiri et femine,S23,F3,,,,72v,conubiũ ,p452_l19_o05_a,c̃iugiũ,S22,F2,normal,,,,p452,76r,Conubiũ ,p452_l19_o05_a,c̃iugium,S22,F2,p452_l19_o05_b,S22,F4
p452_l20_o01,06r,fastidio,nauseo,S22,F2,,,,72v,Fastidio ,p452_l20_o01_a,nauseo,S22,F2,normal,,,,p452,76r,Fastidio ,p452_l20_o01_a,sperno nãuseo ł reicio,S22,F3,,,
p452_l20_o04,06r,consulo,,,,consulo te int̃rogo/consulo tibi ĩꝓuideo,S41,F4,72v,c̃sulo ,p452_l20_o04_a,c̃siliũ do ꝑcunctor,S23,F4,normal,,,,p452,76r,Consulo ,p452_l20_o04_a,consiliũ do/ꝑcunctor,S23,F3,p452_l20_o04_b,S23,F4
p452_l21_o01,06r,obsequor,obedio pareo,S22,F3,,,,72v,Obsequor ,p452_l21_o01_a,obtẽpero,S22,F2,normal,,,,p452,76r,Obsequor ,p452_l21_o01_a,oboedio/obtẽmpero,S22,F3,,,
p452_l21_o05,06r,domunculo,domũ facio,S23,F3,,,,72v,domunculo ,p452_l21_o05_a,paruã domũ facio,S23,F4,normal,,,,p452,76r,Domunculo ,p452_l21_o05_a,paruã domũ fatio,S23,F4,p452_l21_o05_b,S5,F5
p452_l21_o06,06r,domicilium,parua casida,S23,F3,,,,72v,domiciliũ ,p452_l21_o06_a,domus auiũ,S23,F3,normal,,,,p452,76r,Domicilium ,p452_l21_o06_a,domꝰ auiũ,S23,F3,,,
p452_l22_o01,06r,solsto ,solstat,S331,F2,,,,72v,Solsto ,p452_l22_o01_a,solẽ stare facio,S23,F4,normal,p452_l22_o01_b,S63,F3,p452,76r,Solsto ,p452_l22_o01_a,solẽ stare facio,S23,F4,p452_l22_o01_b,S5,F5
p452_l22_o02,06r,solsticium ,Solis stadiũ,S54,F3,,,,72v,solsticiũ ,p452_l22_o02_a,statio solis,S25,F3,normal,,,,p452,76r,Solstitium ,p452_l22_o02_a,solis statio,S25,F3,,,
p452_l22_o04,06r,iusticium ,luctus publicus,S23,F3,,,,72v,iusticiũ ,p452_l22_o04_a,locꝰ UBI IUSTI ͭ ͥ ͣ FIT,S23,F4,shorthand,,,,p452,76r,Iustitium ,p452_l22_o04_a,locus ubi iustitia sit,S23,F4,,,
p452_l22_o06,06r,silicernium,senes incuru /Infirmitas senũ,S23,F3,,,,72v,silicernũ ,p452_l22_o06_a,DIC ͥ ͭ ͧ ͬ HOMO QUI SENEC ͭ ͧ ͭ ͤ ͫ ? SU ͥ CERN ͥ ͭ,S23,F4,shorthand,,,,p452,76r,Silicernium ,p452_l22_o06_a,ipsa res,S23,F3,p452_l22_o06_b,S4181,F5
p452_l23_o02,06r,ridiculum,Fraus siue irrisio,S22,F3,,,,72v,ridiculũ ,p452_l23_o02_a,derisio,S22,F2,normal,,,,p452,76r,Ridiculum ,p452_l23_o02_a,paruus risus/ł derisio/chachinnus,S22,F3,,,
p452_l23_o03,06r,perpendo ,Libro / coequo ,S22,F3,ꝑpendiculũ dt᷑ ++ /coequant᷑ maceria,S23,F4,72v,Perpendo ,p452_l23_o03_a,m̃suro ł penso,S22,F3,normal,,,,p452,76r,Perpendo ,p452_l23_o03_a,coęquo ꝑpendo/mensuro,S22,F3,,,
p452_l23_o05,06r,euerso,destruo,S22,F2,,,,72v,Euerso ,p452_l23_o05_a,destruo,S22,F2,normal,p452_l23_o05_b,S63,F2,p452,76r,Euerso ,p452_l23_o05_a,destruo,S22,F2,,,
p452_l23_o06,06r,euersiculum,euersio,S22,F2,,,,72v,Euersiculũ ,p452_l23_o06_a,++? ͤ ᷠ ͭ ͥ ͣ(destructio?),S22,F2,shorthand,,,,p452,76r,Euersiculũ ,p452_l23_o06_a,destructio diuisio,S22,F3,,,
p452_l24_o02,06r,ueo,a ueando,S54,F3,,,,72v,Ueho ,p452_l24_o02_a,++?,S22,F2,shorthand,,,,p452,76r,Veho ,p452_l24_o02_a,porto,S22,F2,,,
p452_l24_o03,06r,uehiculum,potest di plautrũ ,S22,F4,,,,72v,uehiculũ ,p452_l24_o03_a,plaustrũ,S22,F2,normal,,,,p452,76r,Vehiculũ ,p452_l24_o03_a,plaustrũ,S22,F2,,,
p452_l24_o05,06r,periculum,discrim̃,S22,F2,,,,72v,periculũ ,,,,,,p452_l24_o05_a,S21,F4,p452,76r,Periculũ ,,,,,p452_l24_o05_a,S21,F5
p452_l24_o07,06r,ferculum,Uas ubi cibu ferunt̃,S23,F4,,,,72v,ferculũ ,p452_l24_o07_a,discus,S22,F2,normal,,,,p452,76r,Ferculũ ,p452_l24_o07_a,discus mensa,S22,F3,,,
p452_l25_o08,06r,iaculum,nisi lũ s̃ nomina,S53,F4,,,,72v,iaculũ ,p452_l25_o08_a,telum,S22,F2,normal,,,,p452,76v,iaculũ ,p452_l25_o08_a,telũ,S22,F2,,,
p452_l26_o10,06r,regimen,gubernatio regis,S23,F3,,,,72v,regimen ,p452_l26_o10_a,gub̶natio,S22,F2,normal,,,,p452,76v,regimen ,p452_l26_o10_a,gubernatio/dominatio,S22,F2,,,
p452_l27_o01,06r,tego,cooperio ,S22,F2,,,,72v,Tego ,p452_l27_o01_a,operio,S22,F2,normal,,,,p452,76v,Tego ,p452_l27_o01_a,operio,S22,F2,,,
p452_l27_o02,06r,tegimen,cooperimentũ,S22,F2,,,,72v,Tegim̃ ,p452_l27_o02_a,operim̃tũ,S22,F2,normal,,,,p452,76v,Tegimen ,p452_l27_o02_a,operimentũ,S22,F2,p452_l27_o02_b,S313,F5
p452_l29_o01,06v,quorum,s̃ nominũ,S3232,F2,,,,72v,pauca ,,,,,,,,,p452,76v,quoꝵ ,p452_l29_o01_a,.s. nõinũ,S3232,F2,,,
p452_l31_o10,06v,presertim,ĩ maxime ł ominino,S22,F2,,,,73r,pręsertim ,p452_l31_o10_a,(maxime?),S22,F2,shorthand,,,,p452,76v,p̃sertim ,p452_l31_o10_a,maxime,S22,F2,,,
p453_l02_o06,06v,positionis ,s̃ pͥme persone,S53,F3,,,,73r,positionis ,p453_l02_o06_a,pͥmę ꝑsonę,S53,F3,normal,,,,p453,76v,positionis ,p453_l02_o06_a,pͥmę ꝑsonę,S53,F3,,,
p453_l03_o02,06v,sole,s littere due.,S53,F3,,,,73r,solę ,p453_l03_o02_a,sb̶ .s. & .t.,S53,F2,normal,,,,p453,76v,solę ,p453_l03_o02_a,.s. .s. & .t.,S53,F3,,,
p453_l05_o08,06v,censor,iudex,S22,F2,,,,73r,censor ,p453_l05_o08_a,iudex,S22,F2,normal,,,,p453,76v,censor ,p453_l05_o08_a,iudex,S22,F2,,,
p453_l04_o11,06v,defensor,ꝓtector,S22,F2,,,,73r,defensor ,p453_l04_o11_a,tutor,S22,F2,normal,,,,p453,76v,defensor ,p453_l04_o11_a,turor/ꝓtector,S22,F3,,,
p453_l04_o12,06v,conusltor,inꝗsitor consiliarius,S22,F3,,,,73r,c̃sultor ,p453_l04_o12_a,++ prudens,S22,F2,normal,,,,p453,76v,consultor ,p453_l04_o12_a,consiliator/interrogator/ꝓuidens,S22,F3,,,
